abase,v cause to feel shame; hurt the pride of
blend,"n. an occurrence of thorough mixing
n. a new word formed by joining two others and combining their meanings
n. the act of blending components together thoroughly
v. combine into one"
bland,"s. lacking taste or flavor or tang
s. lacking stimulating characteristics; uninteresting"
concept,n. an abstract or general idea inferred or derived from specific instances
precept,"n rule of personal conduct
n a doctrine that is taught"
conclusive,a. forming an end or termination; especially putting an end to doubt or question
inclusive,a. including much or everything; and especially including stated limits
flicker,"n. a momentary flash of light
n. North American woodpecker
v. move back and forth very rapidly
v. shine unsteadily"
fickle,s. marked by erratic changeableness in affections or attachments
confer,"v. have a conference in order to talk something over
v. present"
infer,"v reason by deduction; establish by deduction
v draw from specific cases for more general cases
v conclude by reasoning; in logic
v guess correctly; solve by guessing
v believe to be the case"
commence,"v take the first step or steps in carrying out an action
v set in motion, cause to start
v get off the ground"
commerce,"n. transactions (sales and purchases) having the objective of supplying commodities (goods and services)
n. social exchange, especially of opinions, attitudes, etc."
infinite,"a. having no limits or boundaries in time or space or extent or magnitude
a. of verbs; having neither person nor number nor mood (as a participle or gerund or infinitive)
s. total and all-embracing"
affinity,"n. (immunology) the attraction between an antigen and an antibody
n. (anthropology) kinship by marriage or adoption; not a blood relationship
n. (biology) state of relationship between organisms or groups of organisms resulting in resemblance in structure or structural parts
n. a close connection marked by community of interests or similarity in nature or character"
contact,"n. close interaction
n. the act of touching physically
n. the state or condition of touching or of being in immediate proximity
n. the physical coming together of two or more things"
intact,"s. (of a woman) having the hymen unbroken
s. undamaged in any way"
conflict,"n. an open clash between two opposing groups (or individuals)
n. opposition between two simultaneous but incompatible feelings
n. a state of opposition between persons or ideas or interests
n. an incompatibility of dates or events"
inflict,v. impose something unpleasant
abject,"s. of the most contemptible kind
s. most unfortunate or miserable
s. showing utter resignation or hopelessness
s. showing humiliation or submissiveness"
reject,"v. refuse to accept or acknowledge
v. reject with contempt
v. refuse entrance or membership"
eject,"v. put out or expel from a place
v. leave an aircraft rapidly, using an ejection seat or capsule"
deject,v lower someone's spirits; make downhearted
inject,"v. give an injection to
v. to introduce (a new aspect or element)
v. force or drive (a fluid or gas) into by piercing
v. take by injection"
object,"n. a tangible and visible entity; an entity that can cast a shadow
n. (grammar) a constituent that is acted upon
n. the focus of cognitions or feelings
n. (computing) a discrete item that provides a description of virtually anything known to a computer"
