alter,"v. make an alteration to
v. remove the ovaries of"
rear,"n. the back of a military formation or procession
n. the side of an object that is opposite its front
n. the side that goes last or is not normally seen
v. stand up on the hind legs, of quadrupeds"
residence,"n. any address at which you dwell more than temporarily
n. the official house or establishment of an important person (as a sovereign or president)"
resort,n. a hotel located in a resort area
shelter,"n. a structure that provides privacy and protection from danger
n. protective covering that provides protection from the weather
n. temporary housing for homeless or displaced persons
v. provide shelter for"
stall,"n. a compartment in a stable where a single animal is confined and fed
n. a booth where articles are displayed for sale
n. a malfunction in the flight of an aircraft in which there is a sudden loss of lift that results in a downward plunge
n. seating in the forward part of the main level of a theater"
territory,"n. an area of knowledge or interest
n. the geographical area under the jurisdiction of a sovereign state"
trace,"n. a just detectable amount
n. an indication that something has been present
n. either of two lines that connect a horse's harness to a wagon or other vehicle or to a whiffletree
n. a visible mark (as a footprint) left by the passage of person or animal or vehicle"
trail,"n. a track or mark left by something that has passed
n. a path or track roughly blazed through wild or hilly country
v. move, proceed, or walk draggingly or slowly
v. hang down so as to drag along the ground"
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
beggar,"n. a pauper who lives by begging
v. be beyond the resources of
v. reduce to beggary"
bride,"n. a woman who has recently been married
n. a woman participant in her own marriage ceremony"
butcher,"n. a retailer of meat
n. a brutal indiscriminate murderer
n. a person who slaughters or dresses meat for market
v. kill (animals) usually for food consumption"
buyer,n. a person who buys
chef,n. a professional cook
chemist,n. a scientist who specializes in chemistry
Christian,"n. a religious person who believes Jesus is the Christ and who is a member of a Christian denomination
a. relating to or characteristic of Christianity
a. following the teachings or manifesting the qualities or spirit of Jesus Christ"
composer,n. someone who composes music as a profession
cop,"n uncomplimentary terms for a policeman
v take by theft
v take into custody"
countryman,"n. a man from your own country
n. a man who lives in the country and has country ways"
darling,"n. a special loved one
n. an Australian river; tributary of the Murray River"
diver,"n. someone who works underwater
n. someone who dives (into water)"
drinker,"n. a person who drinks liquids
n. a person who drinks alcoholic beverages (especially to excess)"
electrician,n. a person who installs or repairs electrical or telephone lines
emperor,"n. the male ruler of an empire
n. red table grape of California
n. large moth of temperate forests of Eurasia having heavily scaled transparent wings"
