looter,n someone who takes spoils or plunder (as in war)
zealous,s marked by active interest and enthusiasm
hiding,n. the state of being hidden
Kuwaiti,"n. a native or inhabitant of Kuwait
a. of or relating to the kingdom of Kuwait or its people
a. of or relating to the capital of Kuwait or its residents"
irritated,"v cause annoyance in; disturb, especially by minor irritations
v excite to an abnormal condition, or chafe or inflame
v excite to some characteristic action or condition, such as motion, contraction, or nervous impulse, by the application of a stimulus
s aroused to impatience or anger"
concise,a. expressing much in few words
boisterous,"s. noisy and lacking in restraint or discipline
s. full of rough and exuberant animal spirits
s. violently agitated and turbulent"
environmentalism,"n. the philosophical doctrine that environment is more important than heredity in determining intellectual growth
n. the activity of protecting the environment from pollution or destruction"
passively,r. in a passive manner
deceptively,r. in a misleading way
bile,n. a digestive juice secreted by the liver and stored in the gallbladder; aids in the digestion of fats
burrito,n. a flour tortilla folded around a filling
oriented,a. adjusted or located in relation to surroundings or circumstances; sometimes used in combination
ominously,r. in an ominous manner
anchovy,"n. tiny fishes usually canned or salted; used for hors d'oeuvres or as seasoning in sauces
n. small herring-like plankton-eating fishes often canned whole or as paste; abundant in tropical waters worldwide"
demeaning,s. causing awareness of your shortcomings
plunder,v. steal goods; take as spoils
router,"n. a worker who routes shipments for distribution and delivery
n. (computer science) a device that forwards data packets between computer networks
n. a power tool with a shaped cutter; used in carpentry for cutting grooves"
eccentricity,"n. strange and unconventional behavior
n. (geometry) a ratio describing the shape of a conic section; the ratio of the distance between the foci to the length of the major axis
n. a circularity that has a different center or deviates from a circular path"
boast,"n. speaking of yourself in superlatives
v. show off"
refuse,"v. show unwillingness towards
v. refuse to accept"
coolness,"n. calm and unruffled self-assurance
n. fearless self-possession in the face of danger"
dammit,none
noodle,n. a ribbonlike strip of pasta
hangout,n a frequently visited place
time-honored,"s acceptable for a long time
s honored because of age or long usage"
kennel,"n. outbuilding that serves as a shelter for a dog
v. put up in a kennel"
underly,none
weeping,"n the process of shedding tears (usually accompanied by sobs or other inarticulate sounds)
v shed tears because of sadness, rage, or pain
s showing sorrow
s having branches or flower heads that bend downward"
sizzle,"n. a sizzling noise
v. make a sound like frying fat
v. seethe with deep anger or resentment
v. burn or sear with a sizzling sound"
sketchy,s. giving only major points; lacking completeness
masquerade,"n. a party of guests wearing costumes and masks
n. making a false outward show
v. take part in a masquerade
v. pretend to be someone or something that you are not"
studied,a. produced or marked by conscious design or premeditation
roil,v. make turbid by stirring up the sediments of
toll,"n. a fee levied for the use of roads or bridges (used for maintenance)
v. ring slowly
v. charge a fee for using"
Panamanian,"n. a native or inhabitant of Panama
a. of or relating to or characteristic of Panama or its people"
responder,n someone who responds
pernicious,"s exceedingly harmful
s working or spreading in a hidden and usually injurious way"
trespass,"n. a wrongful interference with the possession of property (personal property as well as realty), or the action instituted to recover damages
n. entry to another's property without right or permission
v. enter unlawfully on someone's property
v. make excessive use of"
commercialization,n. the act of commercializing something; involving something in commerce
profusion,n. the property of being extremely abundant
waterfowl,n. freshwater aquatic bird
Mayan,n. a member of an American Indian people of Yucatan and Belize and Guatemala who had a culture (which reached its peak between AD 300 and 900) characterized by outstanding architecture and pottery and astronomy
incongruous,a. lacking in harmony or compatibility or appropriateness
unambiguous,a. having or exhibiting a single clearly defined meaning
indigent,s poor enough to need help from others
epidemiological,a of or relating to epidemiology
capital,"n. assets available for use in the production of further assets
n. wealth in the form of money or property owned by a person or business and human resources of economic value
n. a seat of government
n. one of the large alphabetic characters used as the first letter in writing or printing proper names and sometimes for emphasis; capitals were kept in the upper half of the type case and so became known as upper-case letters"""
stand-alone,s. capable of operating independently
tutorial,"n. a session of intensive tuition given by a tutor to an individual or to a small number of students
a. of or relating to tutors or tutoring"
throwback,"n an organism that has the characteristics of a more primitive type of that organism
n a reappearance of an earlier characteristic
s characteristic of an atavist"
