nursery,n. a child's room for a baby
administration,"n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
n. the persons (or committees or departments etc.) who make up a body for the purpose of administering something
n. the act of administering medication
n. the act of meting out justice according to the law"
unity,"n an undivided or unbroken completeness or totality with nothing wanting
n the smallest whole number or a numeral representing this number
n the quality of being united into one"
infer,"v reason by deduction; establish by deduction
v draw from specific cases for more general cases
v conclude by reasoning; in logic
v guess correctly; solve by guessing
v believe to be the case"
inference,n. the reasoning involved in drawing a conclusion or making a logical judgment on the basis of circumstantial evidence and prior conclusions rather than on the basis of direct observation
absorb,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically"
absorption,"n. (chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid
n. (physics) the process in which incident radiated energy is retained without reflection or transmission on passing through a medium"
expand,"v. extend in one or more directions
v. become larger in size or volume or quantity
v. make bigger or wider in size, volume, or quantity"
fascinate,"v. to render motionless, as with a fixed stare or by arousing terror or awe"
fascination,"n. the state of being intensely interested (as by awe or terror)
n. the capacity to attract intense interest"
incredible,a. beyond belief or understanding
command,"n. an authoritative direction or instruction to do something
n. a military unit or region under the control of a single officer
n. the power or authority to command
n. availability for use"
domestic,"n. a servant who is paid to perform menial tasks around the household
a. of concern to or concerning the internal affairs of a nation
a. of or relating to the home
a. of or involving the home or family"
obtain,v. come into possession of
tone,"n. the quality of a person's voice
n. (linguistics) a pitch or change in pitch of the voice that serves to distinguish words in tonal languages
n. a steady sound without overtones
n. a musical interval of two semitones"
rescue,"n. recovery or preservation from loss or danger
v. free from harm or evil
v. take forcibly from legal custody"
rapid,"n. a part of a river where the current is very fast
s. done or occurring in a brief period of time
s. characterized by speed; moving with or capable of moving with high speed"
combine,"n. harvester that heads and threshes and cleans grain while moving across the field
v. add together from different sources
v. join for a common purpose or in a common action"
combination,"n. a collection of things that have been combined; an assemblage of separate parts or qualities
n. a coordinated sequence of chess moves
n. a sequence of numbers or letters that opens a combination lock
n. a group of people (often temporary) having a common purpose"
