admission,"n. the act of admitting someone to enter
n. an acknowledgment of the truth of something"
rot,"n a state of decay usually accompanied by an offensive odor
n (biology) the process of decay caused by bacterial or fungal action
n unacceptable behavior (especially ludicrously false statements)
v break down
v become physically weaker"
sanctuary,n. a consecrated place where sacred objects are kept
scale,"n. an ordered reference standard
n. relative magnitude
n. the ratio between the size of something and a representation of it
n. a specialized leaf or bract that protects a bud or catkin"
seventeen,"n. the cardinal number that is the sum of sixteen and one
s. being one more than sixteen"
springtime,n the season of growth
transplant,"n. an operation moving an organ from one organism (the donor) to another (the recipient)
n. the act of removing something from one location and introducing it in another location
v. lift and reset in another soil or situation
v. be transplantable"
vegetation,"n. all the plant life in a particular region or period
n. the process of growth in plants
n. an abnormal growth or excrescence (especially a warty excrescence on the valves of the heart)
n. inactivity that is passive and monotonous, comparable to the inactivity of plant life"
withhold,"v. hold back; refuse to hand over or share
v. retain and refrain from disbursing; of payments"
resemble,v. appear like; be similar or bear a likeness to
idealize,"v. consider or render as ideal
v. form ideals"
absorb,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically"
surpass,v. be or do something to a greater degree
disapprove,"v. consider bad or wrong
v. deem wrong or inappropriate"
feudal,a. of or relating to or characteristic of feudalism
effusive,s. extravagantly demonstrative
forceful,a. characterized by or full of force or strength (often but not necessarily physical)
ominous,"s threatening or foreshadowing evil or tragic developments
s presaging ill fortune"
selective,"s. tending to select; characterized by careful choice
s. characterized by very careful or fastidious selection"
imprison,"v. lock up or confine, in or as in a jail
v. confine as if in a prison; he does not let them go out without a chaperone"""
frown,"n. a facial expression of dislike or displeasure
v. look angry or sullen, wrinkle one's forehead, as if to signal disapproval"
stern,"n. the rear part of a ship
n. United States concert violinist (born in Russia in 1920)
s. severe and unremitting in making demands"
humid,s. containing or characterized by a great deal of water vapor
sketch,"n. preliminary drawing for later elaboration
n. a brief literary description
n. short descriptive summary (of events)
v. make a sketch of"
gist,"n the central meaning or theme of a speech or literary work
n the choicest or most essential or most vital part of some idea or experience"
statute,"n an act passed by a legislative body
s enacted by a legislative body"
groundwork,n. preliminary preparation as a basis or foundation
academic,"a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects"
advanced,"s. farther along in physical or mental development
s. comparatively late in a course of development
s. ahead of the times
s. at a higher level in training or knowledge or skill"
adventure,n. a wild and exciting undertaking (not necessarily lawful)
amplify,v. increase the volume of
archaeologist,n an anthropologist who studies prehistoric people and their culture
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
bicyclist,n a person who rides a bicycle
combination,"n. a collection of things that have been combined; an assemblage of separate parts or qualities
n. a coordinated sequence of chess moves
n. a sequence of numbers or letters that opens a combination lock
n. a group of people (often temporary) having a common purpose"
