abroad,"s. in a foreign country
r. to or in a foreign country"
rigid,"s. incapable of or resistant to bending
s. incapable of compromise or flexibility
a. designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure"
rigorous,"s. rigidly accurate; allowing no deviation from a standard
s. demanding strict attention to rules and procedures"
rim,"n. the shape of a raised edge of a more or less circular object
n. (basketball) the hoop from which the net is suspended
n. the outer part of a wheel to which the tire is attached
v. run around the rim of"
shiver,"v. shake, as from cold"
shortage,"n the property of being an amount by which something is less than expected or required
n an acute insufficiency"
shortcut,n. a route shorter than the usual one
soundproof,"v. insulate against noise
s. impervious to, or not penetrable by, sound"
specialise,"v devote oneself to a special area of work
v be specific about
v suit to a special purpose
v become more focus on an area of activity or field of study
v evolve so as to lead to a new species or develop in a way most suited to the environment"
spiritual,"n. a kind of religious song originated by Blacks in the southern United States
s. concerned with or affecting the spirit or soul
s. lacking material body or form or substance"
stability,"n. the quality or attribute of being firm and steadfast
n. a stable order (especially of society)"
stain,"n. a soiled or discolored appearance
n. (microscopy) a dye or other coloring material that is used in microscopy to make structures visible
v. color with a liquid dye or tint
v. produce or leave stains"
subjective,a. taking place within the mind and modified by individual bias
submarine,"n. a submersible warship usually armed with torpedoes
v. move forward or under in a sliding motion
v. throw with an underhand motion
v. bring down with a blow to the legs"
subordinate,"n. an assistant subject to the authority or control of another
v. rank or order as less important or consider of less value
v. make subordinate, dependent, or subservient
a. lower in rank or importance"
subsequent,a. following in time or order
subside,"v. wear off or die down
v. sink to a lower level or form a depression
v. sink down or precipitate"
subsidise,"v secure the assistance of by granting a subsidy, as of nations or military forces
v support through subsidies"
substantial,"s. having a firm basis in reality and being therefore important, meaningful, or considerable
a. having substance or capable of being treated as fact; not imaginary"
substitute,"n. a person or thing that takes or can take the place of another
n. an athlete who plays only when a starter on the team is replaced
v. put in the place of another; switch seemingly equivalent items
v. be a substitute"
suburb,n. a residential district located on the outskirts of a city
successive,s in regular succession without gaps
sue,n. French writer whose novels described the sordid side of city life (1804-1857)
sufficient,a. of a quantity that can fulfill a need or requirement but without being abundant
suicide,"n. the act of killing yourself
n. a person who kills himself intentionally"
suitable,s. meant or adapted for an occasion or use
suite,"n. a musical composition of several movements only loosely connected
n. apartment consisting of a series of connected rooms used as a living unit (as in a hotel)
n. a matching set of furniture"
summon,"v. call in an official matter, such as to attend court
v. ask to come"
superb,s. surpassingly good
supersonic,"a. (of speed) greater than the speed of sound in a given medium (especially air)
s. having frequencies above those of audible sound"
thirst,"n. a physiological need to drink
v. feel the need to drink"
threaten,"v. to utter intentions of injury or punishment against:""He threatened me when I tried to call the police""
v. to be a menacing indication of something:""The clouds threaten rain"""
