acrobatics,"n. the gymnastic moves of an acrobat
n. the performance of stunts while in flight in an aircraft"
responsibility,n. a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's conduct
passion,"n. a strong feeling or emotion
n. a feeling of strong sexual desire
n. the suffering of Jesus at the Crucifixion"
humor,"n. the trait of appreciating (and being able to express) the humorous
n. the quality of being funny
n. (Middle Ages) one of the four fluids in the body whose balance was believed to determine your emotional and physical state"
strength of character,none
maturity,"n. state of being mature; full development
n. the date on which an obligation must be repaid"
patience,n. good-natured tolerance of delay or incompetence
wisdom,"n. accumulated knowledge or erudition or enlightenment
n. the trait of utilizing knowledge and experience with common sense and insight
n. ability to apply knowledge or experience or understanding or common sense and insight
n. the quality of being prudent and sensible"
common sense," See Common sense, under Sense."
trustworthiness,n. the trait of deserving trust and confidence
reliability,n the quality of being dependable or reliable
creativity,n. the ability to create
sensitivity,"n. (physiology) responsiveness to external stimuli; the faculty of sensation
n. the ability to respond to physical stimuli or to register small physical amounts or differences
n. sensitivity to emotional feelings (of self and others)"
business foresight,none
power,"n. possession of controlling influence
n. (physics) the rate of doing work; measured in watts (= joules/second)
n. one possessing or exercising power or influence or authority
v. supply the force or power for the functioning of"
organization,"n. a group of people who work together
n. the act of organizing a business or an activity related to a business
n. an ordered manner; orderliness by virtue of being methodical and well organized
n. the activity or result of distributing or disposing persons or things properly or methodically"
communication,"n. the activity of communicating; the activity of conveying information
n. something that is communicated by or to or between people or groups
n. a connection allowing access between persons or places"
optimism,"n. the optimistic feeling that all is going to turn out well
n. a general disposition to expect the best in all things"
management,"n. the act of managing something
n. those in charge of running a business"
telephone calls,plural of telephone-call
traditional and conservative,none
contact friends,none
post office,n. See under 4th Post.
stamps and envelopes,none
remote area,none
love letter,none
invitation letter,none
resignation letter,none
Dear John letter,none
tag,"n. a label written or printed on paper, cardboard, or plastic that is attached to something to indicate its owner, nature, price, etc.
n. a label associated with something for the purpose of identification
n. a game in which one child chases the others; the one who is caught becomes the next chaser
n. (sports) the act of touching a player in a game (which changes their status in the game)"
renewal,n. the act of renewing
compensation,"n. something (such as money) given or received as payment or reparation (as for a service or loss or injury)
n. (psychiatry) a defense mechanism that conceals your undesirable shortcomings by exaggerating desirable behaviors"
book exhibition,none
bookworm,n. someone who spends a great deal of time reading
Xerox,"n. a copy made by a xerographic printer
n. a duplicator (trade mark Xerox) that copies graphic matter by the action of light on an electrically charged photoconductive insulating surface in which the latent image is developed with a resinous powder"
city library,none
rural library,none
provincial library,none
municipal library,none
county library,none
circulating library,none
administrative office,none
rare books division,none
stack room,none
reference reading room,none
title card,none
catalogue of titles,none
classified catalogue,none
title index,none
author index,none
classified index,none
union catalogue,none
loan registration,none
book borrower,none
library card,none
duplication room,none
drop box,none
bookmarker,n a marker (a piece of paper or ribbon) placed between the pages of a book to mark the reader's place
bookcase,n. a piece of furniture with shelves for storing books
bookrack,none
paperback,s. (of books) having a flexible binding
hardback,n. a book with cardboard or cloth or leather covers
clothback,none
content,"n. everything that is included in a collection and that is held or included in something
n. the proportion of a substance that is contained in a mixture or alloy etc.
n. the sum or range of what has been perceived, discovered, or learned
v. satisfy in a limited way"
