finale,"n. the closing section of a musical composition
n. the concluding part of any performance"
backstage,"r. out of view of the public; behind the scenes
r. in or to a backstage area of a theater"
stairwell,n. a vertical well around which there is a stairway
propensity,"n an inclination to do something
n a natural inclination
n a disposition to behave in a certain way"
horde,"n. a vast multitude
n. a nomadic community"
jeep,n. a car suitable for traveling over rough terrain
auditory,a. of or relating to the process of hearing
synthesize,"v. combine so as to form a more complex, product
v. combine and form a synthesis"
alternately,r. in an alternating sequence or position
breathless,"a. not breathing or able to breathe except with difficulty
s. tending to cause suspension of regular breathing
s. appearing dead; not breathing or having no perceptible pulse"
infancy,"n. the early stage of growth or development
n. the earliest state of immaturity"
uncanny,"s suggesting the operation of supernatural influences
s surpassing the ordinary or normal"
solidify,"v. make solid or more solid; cause to solidify
v. become solid"
intersect,v. meet at a point
buy,"v. obtain by purchase; acquire by means of a financial transaction
v. be worth or be capable of buying
v. acquire by trade or sacrifice or exchange
v. accept as true"
eyeball,n. the ball-shaped capsule containing the vertebrate eye
craftsman,"n. a professional whose work is consistently of high quality
n. a creator of great skill in the manual arts
n. a skilled worker who practices some trade or handicraft"
forgiving,a. inclined or able to forgive and show mercy
methodological,a. relating to the methodology of some discipline
delusion,"n. (psychology) an erroneous belief that is held in the face of evidence to the contrary
n. a mistaken or unfounded opinion or idea
n. the act of deluding; deception by creating illusory ideas"
hideous,"s. grossly offensive to decency or morality; causing horror
s. so extremely ugly as to be terrifying"
aspiring,"v have an ambitious plan or a lofty goal
s desiring or striving for recognition or advancement"
mute,"n. a deaf person who is unable to speak
n. a device used to soften the tone of a musical instrument
s. expressed without speech"
physiology,"n. the branch of the biological sciences dealing with the functioning of organisms
n. processes and functions of an organism"
chuckle,v. laugh quietly or with restraint
ascribe,v attribute or credit to
dampen,"v. reduce the amplitude (of oscillations or waves)
v. make vague or obscure or make (an image) less visible
v. check; keep in check (a fire)
v. lessen in force or effect"
trafficker,n someone who promotes or exchanges goods or services for money
rouse,"v become active
v force or drive out
v cause to be agitated, excited, or roused
v cause to become awake or conscious"
dormitory,"n. a college or university building containing living quarters for students
n. a large sleeping room containing several beds"
hassle,n. disorderly fighting
sincerity,"n. the quality of being open and truthful; not deceitful or hypocritical
n. a quality of naturalness and simplicity"
quirky,s informal terms; strikingly unconventional
plutonium,n. a solid silvery grey radioactive transuranic element whose atoms can be split when bombarded with neutrons; found in minute quantities in uranium ores but is usually synthesized in nuclear reactors; 13 isotopes are known with the most important being plutonium 239
stricken,"s grievously affected especially by disease
s (used in combination) affected by something overwhelming
s put out of action (by illness)"
professionalism,n. the expertness characteristic of a professional person
eject,"v. put out or expel from a place
v. leave an aircraft rapidly, using an ejection seat or capsule"
unauthorized,"a. not endowed with authority
s. without official authorization"
flatly,r. in an unqualified manner
marshal,"n. a law officer having duties similar to those of a sheriff in carrying out the judgments of a court of law
n. (in some countries) a military officer of highest rank
v. place in proper rank
v. arrange in logical order"
staffing,"v provide with staff
v serve on the staff of"
remarry,"v. marry, not for the first time"
stipulate,"v. specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement
v. give a guarantee or promise of
v. make an oral contract or agreement in the verbal form of question and answer that is necessary to give it legal force"
oatmeal,"n. porridge made of rolled oats
n. meal made from rolled or ground oats"
shred,"n. a tiny or scarcely detectable amount
v. tear into shreds"
watermelon,"n. an African melon
n. large oblong or roundish melon with a hard green rind and sweet watery red or occasionally yellowish pulp"
adultery,n. extramarital sex that willfully and maliciously interferes with marriage relations
first-class,s very good; of the highest quality
undesirable,"n. one whose presence is undesirable
a. not wanted
s. not worthy of being chosen (especially as a spouse)"
ATM,"n a unit of pressure: the pressure that will support a column of mercury 760 mm high at sea level and 0 degrees centigrade
n a means of digital communications that is capable of very high speeds; suitable for transmission of images or voice or video as well as data
n an unattended machine (outside some banks) that dispenses money when a personal coded card is used"
