unidimensional,a. relating to a single dimension or aspect; having no depth or scope
inspired,"v heighten or intensify
v supply the inspiration for
v serve as the inciting cause of
v spur on or encourage especially by cheers and shouts
v fill with revolutionary ideas
v draw in (air)
s being of such surpassing excellence as to suggest inspiration by the gods"
familiarity,"n. usualness by virtue of being familiar or well known
n. close or warm friendship
n. an act of undue intimacy"
patriotism,n. love of country and willingness to sacrifice for it
abstentious,a. Characterized by abstinence; self-restraining.
ordain,"v. order by virtue of superior authority; decree
v. appoint to a clerical posts
v. invest with ministerial or priestly authority
v. issue an order"
assemble,"v. create by putting components or members together
v. get people together"
rectitude,n righteousness as a consequence of being honorable and honest
rapt,s feeling great rapture or delight
exclaim,"v. utter aloud; often with surprise, horror, or joy"
sibyl,"n. a woman who tells fortunes
n. (ancient Rome) a woman who was regarded as an oracle or prophet"
cordial,"s. politely warm and friendly
s. sincerely or intensely felt"
mingle,v. get involved or mixed-up with
enthrall,v hold spellbound
gaze,"n. a long fixed look
v. look at with fixed eyes"
snatch,"n. a small fragment
n. a weightlift in which the barbell is lifted overhead in one rapid motion
v. to grasp hastily or eagerly
v. to make grasping motions"
zephyr,n. (Greek mythology) the Greek god of the west wind
spurt,v. gush forth in a sudden stream or jet
preposterous,s incongruous; inviting ridicule
quack,"n. an untrained person who pretends to be a physician and who dispenses medical advice
n. the harsh sound of a duck
v. utter quacking noises"
etymology,"n. a history of a word
n. the study of the sources and development of words"
embarrass,v. cause to be embarrassed; cause to feel self-conscious
industrious,"s characterized by hard work and perseverance
s working hard to promote an enterprise"
piquant,"s. having an agreeably pungent taste
s. engagingly stimulating or provocative"
backset,"n. A check; a relapse; a discouragement; a setback.
n. Whatever is thrown back in its course, as water.
v. i. To plow again, in the fall; -- said of prairie land
   broken up in the spring."
typhoon,n. a tropical cyclone occurring in the western Pacific or Indian oceans
scripture,n. any writing that is regarded as sacred by a religious group
fluke,"n. a barb on a harpoon or arrow
n. flat bladelike projection on the arm of an anchor
n. either of the two lobes of the tail of a cetacean
n. parasitic flatworms having external suckers for attaching to a host"
latent,"s. potentially existing but not presently evident or realized
s. (pathology) not presently active"
ungrudging,s. without envy or reluctance
double-cross,none
elated,"a. exultantly proud and joyful; in high spirits
s. full of high-spirited delight"
upfront,s. frank and honest
toil,"n productive work (especially physical work done for wages)
v work hard"
flit,"n. a sudden quick movement
n. a secret move (to avoid paying debts)
v. move along rapidly and lightly; skim or dart"
multiplicity,n. the property of being multiple
behoove,v. be appropriate or necessary
informer,n. one who reveals confidential information in return for money
empower,v. give or delegate power or authority to
vicinity,n. a surrounding or nearby region
footle,"v. act foolishly, as by talking nonsense"
damp,"n. a slight wetness
v. restrain or discourage
s. slightly wet"
deadlock,n. a situation in which no progress can be made or no advancement is possible
restorative,"n a medicine that strengthens and invigorates
n a device for treating injury or disease
s tending to impart new life and vigor to
s promoting recuperation"
ponder,v reflect deeply on a subject
striated,v mark with striae or striations
canard,n. a deliberately misleading fabrication
morale,n. a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose
sustained,s. maintained at length without interruption or weakening
exaltation,"n. the location of a planet in the zodiac at which it is believed to exert its maximum influence
n. a flock of larks (especially a flock of larks in flight overhead)"
substance,"n. the real physical matter of which a person or thing consists
n. material of a particular kind or constitution
n. a particular kind or species of matter with uniform properties"
slew,"n (often followed by `of') a large number or amount or extent
v turn sharply; change direction abruptly
v move obliquely or sideways, usually in an uncontrolled manner
v kill intentionally and with premeditation"
lottery,"n. something that is regarded as a chance event
n. players buy (or are given) chances and prizes are distributed by casting lots"
pluralist,"n. a cleric who holds more than one benefice at a time
n. a philosopher who believes that no single explanation can account for all the phenomena of nature
n. someone who believes that distinct ethnic or cultural or religious groups can exist together in society"
relent,"v give in, as to influence or pressure"
sag,"n. a shape that sags
v. droop, sink, or settle from or as if from pressure or loss of tautness
v. cause to sag"
welsh,"n. a Celtic language of Wales
n. a breed of dual-purpose cattle developed in Wales
v. cheat by avoiding payment of a gambling debt"
invective,n abusive or venomous language used to express blame or censure or bitter deep-seated ill will
deserter,"n. a disloyal person who betrays or deserts his cause or religion or political party or friend etc.
n. a person who abandons their duty (as on a military post)"
staid,s characterized by dignity and propriety
lean,"v. to incline or bend from a vertical position
v. cause to lean or incline
v. rely on for support
a. lacking in mineral content or combustible material"
jovial,s full of or showing high-spirited merriment
libelous,s (used of statements) harmful and often untrue; tending to discredit or malign
advert,"n a public promotion of some product or service
v give heed (to)
v make a more or less disguised reference to
v make reference to"
