abroad,"s. in a foreign country
r. to or in a foreign country"
impact,"n. the striking of one body against another
n. a forceful consequence; a strong effect
v. press or wedge together; pack together"
install,"v. set up for use
v. put into an office or a position
v. place"
implement,"n. instrumentation (a piece of equipment or tool) used to effect an end
v. apply in a manner consistent with its purpose or design"
execute,"v. kill as a means of socially sanctioned punishment
v. murder in a planned fashion
v. carry out the legalities of
v. sign in the presence of witnesses"
executive,"n. a person responsible for the administration of a business
n. persons who administer the law
a. having the function of carrying out plans or orders etc."
enforce,"v. ensure observance of laws and rules; 
v. compel to behave in a certain way"
impose,"v compel to behave in a certain way
v impose something unpleasant
v impose and collect"
exert,"v. put to use
v. make a great effort at a mental or physical task"
levy,"n. a charge imposed and collected
n. the act of drafting into military service
v. impose and collect"
prosecute,"v. conduct a prosecution in a court of law
v. bring a criminal action against (in a trial)
v. carry out or participate in an activity; be involved in"
persecute,v. cause to suffer
torture,"n. unbearable physical pain
n. the deliberate, systematic, or wanton infliction of physical or mental suffering by one or more persons in an attempt to force another person to yield information or to make a confession or for any other reason
v. subject to torture"
torment,"v. torment emotionally or mentally
v. treat cruelly"
rack,"n. framework for holding objects
n. rib section of a forequarter of veal or pork or especially lamb or mutton
n. an instrument of torture that stretches or disjoints or mutilates victims
n. a support for displaying various articles"
picturesque,"s. suggesting or suitable for a picture; pretty as a picture
s. strikingly expressive"
propose,"v. make a proposal, declare a plan for something
v. ask (someone) to marry you"
partial,"s. being or affecting only a part; not total
a. showing favoritism"
compose,"v. form the substance of
v. write music
v. put together out of existing material
v. calm (someone, especially oneself); make quiet"
consist,"v. have its essential character; be comprised or contained in; be embodied in
v. be consistent in form, tenor, or character; be congruous
v. be composed of"
inconsistent,"a. displaying a lack of consistency
s. not capable of being made consistent or harmonious"
constitute,v. form or compose
constitution,"n. the act of forming or establishing something
n. the way in which someone or something is composed
n. a United States 44-gun frigate that was one of the first three naval ships built by the United States; it won brilliant victories over British frigates during the War of 1812 and is without doubt the most famous ship in the history of the United States Navy; it has been rebuilt and is anchored in the Charlestown Navy Yard in Boston"
compound,"n. a whole formed by a union of two or more elements or parts
n. (chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight
n. an enclosure of residences and other building (especially in the Orient)
v. put or add together"
comprise,"v be composed of
v include or contain; have as a component
v form or compose"
assault,"n. close fighting during the culmination of a military attack
n. a threatened or attempted physical attack by someone who appears to be able to cause bodily harm if not stopped
n. thoroughbred that won the triple crown in 1946"
raid,"n. an attempt by speculators to defraud investors
v. search without warning, make a sudden surprise attack on
v. take over (a company) by buying a controlling interest of its stock
v. search for something needed or desired"
offend,"v cause to feel resentment or indignation
v act in disregard of laws, rules, contracts, or promises
v strike with disgust or revulsion
v hurt the feelings of"
offence,"n the action of attacking an enemy
n the team that has the ball (or puck) and is trying to score
n a feeling of anger caused by being offended
n a lack of politeness; a failure to show regard for others; wounding the feelings or others
n (criminal law) an act punishable by law; usually considered an evil act"
offense,"n. the team that has the ball (or puck) and is trying to score
n. the action of attacking an enemy"
