foolishly,r. without good sense or judgment
fashionable,"a. being or in accordance with current social fashions
s. patronized by"
be stuck with,none
eyebrow wax,none
dazzle,"n. brightness enough to blind partially and temporarily
v. to cause someone to lose clear vision, especially from intense light
v. amaze or bewilder, as with brilliant wit or intellect or skill"
superficial,"a. concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually
a. of, affecting, or being on or near the surface
s. of little substance or significance"
empirical,a. derived from experiment and observation rather than theory
strategy,n. the branch of military science dealing with military command and the planning and conduct of a war
psychologist,n. a scientist trained in psychology
illusory,s based on or having the nature of an illusion
superiority,"n. the quality of being superior
n. the quality of being at a competitive advantage
n. displaying a sense of being better than others"
statistical,a. of or relating to statistics
impossibility,"n. incapability of existing or occurring
n. an alternative that is not available"
deep-seated,s (used especially of ideas or principles) deeply rooted; firmly fixed or held
amass,"v collect or gather
v get or gather together"
rose-tint,none
defensive,"n. an attitude of defensiveness (especially in the phrase `on the defensive')
a. intended or appropriate for defending against or deterring aggression or attack
s. attempting to justify or defend in speech or writing"
stereotype,n. a conventional or formulaic conception or image
boost,"n. the act of giving hope or support to someone
n. the act of giving a push
v. give a boost to; be beneficial to
v. increase or raise"
stalk,"n. a slender or elongated structure that supports a plant or fungus or a plant part or plant organ
n. a hunt for game carried on by following it stealthily or waiting in ambush
n. the act of following prey stealthily
n. a stiff or threatening gait"
self-affirming,none
criticise,"v find fault with; express criticism of; point out real or perceived flaws
v act as a critic"
esteem,n. the condition of being honored (esteemed or respected or well regarded)
hot stuff,none
oversee,v. watch and direct
identify,"v. recognize as being; establish the identity of someone or something
v. consider (oneself) as similar to somebody else
v. conceive of as united or associated
v. identify as in botany or biology, for example"
version,"n. an interpretation of a matter from a particular viewpoint
n. something a little different from others of the same type
n. manual turning of a fetus in the uterus (usually to aid delivery)"
