abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
electorate,n. the body of enfranchised citizens; those qualified to vote
electro,n. An electrotype.
electron,n. an elementary particle with negative charge
element,"n. the most favorable environment for a plant or animal
n. one of four substances thought in ancient and medieval cosmology to constitute the physical universe
n. the situation in which you are happiest and most effective
n. a straight line that generates a cylinder or cone"
elevate,"v give a promotion to or assign to a higher position
v raise from a lower to a higher position
v raise in rank or condition"
elicit,v. derive by reason
eligible,a. qualified for or allowed or worthy of being chosen
eliminate,"v. kill in large numbers
v. remove from a contest or race
v. remove (an unknown variable) from two or more equations"
elite,n. a group or class of persons enjoying superior intellectual or social or economic status
elliptical,"s rounded like an egg
s characterized by extreme economy of expression or omission of superfluous elements"
elongate,"v. make long or longer by pulling and stretching
s. having notably more length than width; being long and slender"
eloquent,"s. expressing yourself readily, clearly, effectively"
elude,"v. escape, either physically or mentally
v. be incomprehensible to; escape understanding by"
embalm,v. preserve a dead body
embargo,"n. a government order imposing a trade barrier
v. ban the publication of (documents), as for security or copyright reasons
v. prevent commerce"
embark,"v. go on board
v. set out on (an enterprise or subject of study)"
embarrass,v. cause to be embarrassed; cause to feel self-conscious
embed,"v. attach to, as a journalist to a military unit when reporting on a war"
embellish,"v add details to
v be beautiful to look at
v make more attractive by adding ornament, colour, etc.
v make more beautiful"
embrace,"n. the act of clasping another person in the arms (as in greeting or affection)
n. the state of taking in or encircling
n. a close affectionate and protective acceptance
v. include in scope; include as part of something broader; have as one's sphere or territory"
embryo,"n. (botany) a minute rudimentary plant contained within a seed or an archegonium
n. an animal organism in the early stages of growth and differentiation that in higher forms merge into fetal stages but in lower forms terminate in commencement of larval life"
emerge,"v. come out into view, as from concealment
v. become known or apparent
v. come up to the surface of or rise"
emergency,"n. a sudden unforeseen crisis (usually involving danger) that requires immediate action
n. a state in which martial law applies"
eminent,"s. standing above others in quality or position
s. of imposing height; especially standing out above others"
emission,"n. the act of emitting; causing to flow forth
n. the release of electrons from parent atoms
n. the occurrence of a flow of water (as from a pipe)"
empirical,a. derived from experiment and observation rather than theory
emulate,"v. strive to equal or match, especially by imitating
v. imitate the function of (another system), as by modifying the hardware or the software
v. compete with successfully; approach or reach equality with"
enact,v. act out; represent or perform as if in a play
encephalitis,n. inflammation of the brain usually caused by a virus; symptoms include headache and neck pain and drowsiness and nausea and fever (`phrenitis' is no longer in scientific use)
enclose,"v. close in; darkness enclosed him""
v. surround completely"
encode,v. convert information into code
encompass,v include in scope; include as part of something broader; have as one's sphere or territory
encounter,n. a casual meeting with a person or thing
encroach,v. advance beyond the usual limit
encyclopedia,n. a reference work (often in several volumes) containing articles on various topics (often arranged in alphabetical order) dealing with the entire range of human knowledge or with some particular specialty
