cent,n. a fractional monetary unit of several countries
discuss,"n an athletic competition in which a disk-shaped object is thrown as far as possible
n a disk used in throwing competitions
v to consider or examine in speech or writing
v speak with others about (something); talk (something) over in detail; have a discussion"
dispart,"v. t. To part asunder; to divide; to separate; to sever; to
   rend; to rive or split; as, disparted air; disparted towers.
v. i. To separate, to open; to cleave.
n. The difference between the thickness of the metal at the
   mouth and at the breech of a piece of ordnance.
n. A piece of metal placed on the muzzle, or near the
   trunnions, on the top of a piece of ordnance, to make the line of sight
   parallel to the axis of the bore; -- called also dispart sight, and
   muzzle sight.
v. t. To make allowance for the dispart in (a gun), when
   taking aim.
v. t. To furnish with a dispart sight."
discern,v detect with the senses
nonsense,"n. a message that seems to convey no meaning
s. having no intelligible meaning"
nonsmoking,none
nonessential,"n anything that is not essential
s not of prime or central importance"
nonhuman,a. not human; not belonging to or produced by or appropriate to human beings
nonprofessional,a. not professional; not engaged in a profession or engaging in as a profession or for gain
nonprofit,s. not commercially motivated
nonstop,"s. (of a journey especially a flight) occurring without stops
r. without stopping"
nonexistent,a. not having existence or being or actuality
nonfiction,n. prose writing that is not fictional
nontraditional,a. not conforming to or in accord with tradition
nontoxic,a. not producing or resulting from poison
nonalcoholic,a. characterized by the absence of alcohol
mislead,v. lead someone in the wrong direction or give someone wrong directions
misread,"v. read or interpret wrongly
v. interpret wrongly"
misdeed,n improper or wicked or immoral behavior
misinterpret,v. interpret falsely
misunderstand,v interpret in the wrong way
misapply,v. apply to a wrong thing or person; apply badly or incorrectly
misguide,"v lead someone in the wrong direction or give someone wrong directions
v give bad advice to"
misbehavior,n. improper or wicked or immoral behavior
miscalculate,"v. judge incorrectly
v. calculate incorrectly"
misfortune,"n. unnecessary and unforeseen trouble resulting from an unfortunate event
n. an unfortunate state resulting from unfavorable outcomes"
mishap,n. an instance of misfortune
misjudge,v. judge incorrectly
object,"n. a tangible and visible entity; an entity that can cast a shadow
n. (grammar) a constituent that is acted upon
n. the focus of cognitions or feelings
n. (computing) a discrete item that provides a description of virtually anything known to a computer"
oppose,"v. be against; express opposition to
v. contrast with equal weight or force
v. be resistant to"
opposite,"s. being directly across from each other; facing
a. of leaves etc; growing in pairs on either side of a stem
s. moving or facing away from each other
s. the other one of a complementary pair"
opponent,s. characterized by active hostility
obstruct,"v. hinder or prevent the progress or accomplishment of
v. block passage through
v. shut out from view or get in the way so as to hide from sight"
obverse,"n. the more conspicuous of two alternatives or cases or sides
n. the side of a coin or medal bearing the principal stamp or design"
reaction,"n. an idea evoked by some experience
n. a bodily process occurring due to the effect of some antecedent stimulus or agent
n. (mechanics) the equal and opposite force that is produced when any force is applied to a body
n. a response that reveals a person's feelings or attitude"
reflect,"v. manifest or bring back
v. to throw or bend back (from a surface)
v. be bright by reflecting or casting light
v. show an image of"
