precise,a. sharply exact or accurate or delimited
chips,"n strips of potato fried in deep fat
n a small fragment of something broken off from the whole
n a triangular wooden float attached to the end of a log line
n a piece of dried bovine dung
n a thin crisp slice of potato fried in deep fat
n a mark left after a small piece has been chopped or broken off of something
n a small disk-shaped counter used to represent money when gambling
n electronic equipment consisting of a small crystal of a silicon semiconductor fabricated to carry out a number of electronic functions in an integrated circuit
n (golf) a low running approach shot
n the act of chipping something
v break off (a piece from a whole)
v cut a nick into
v play a chip shot
v form by chipping
v break a small piece off from"
confidential,"s. entrusted with private information and the confidence of another
s. (of information) given in confidence or in secret
s. denoting confidence or intimacy
s. the level of official classification for documents next above restricted and below secret; available only to persons authorized to see documents so classified"
shallow,"v. make shallow
v. become shallow
a. lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center
a. not deep or strong; not affecting one deeply"
conventional,"a. following accepted customs and proprieties
s. conforming with accepted standards
a. (weapons) using energy for propulsion or destruction that is not nuclear energy
a. unimaginative and conformist"
disappear,"v. get lost, as without warning or explanation"
root,"n. (botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground
n. (linguistics) the form of a word after all affixes are removed
n. a number that, when multiplied by itself some number of times, equals a given number
n. the part of a tooth that is embedded in the jaw and serves as support"
amazing,"s. surprising greatly
s. inspiring awe or admiration or wonder"
march,"n. the month following February and preceding April
n. the act of marching; walking with regular steps (especially in a procession of some kind)
n. a steady advance
n. a procession of people walking together"
alike,"a. having the same or similar characteristics
r. equally
r. in a like manner"
success,"n. an event that accomplishes its intended purpose
n. an attainment that is successful
n. a state of prosperity or fame"
vacant,"s. void of thought or knowledge
s. without an occupant or incumbent"
fortnight,n. a period of fourteen consecutive days
immigration,"n. migration into a place (especially migration to a country of which you are not a native in order to settle there)
n. the body of immigrants arriving during a specified interval"
specific,"n. a medicine that has a mitigating effect on a specific disease
a. (sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique
s. stated explicitly or in detail
a. relating to or distinguishing or constituting a taxonomic species"
pregnant,a. carrying developing offspring within the body or being about to produce new life
zebra,n. any of several fleet black-and-white striped African equines
symphony,n. a long and complex sonata for symphony orchestra
fantasy,"n. imagination unrestricted by reality
n. fiction with a large amount of imagination in it
v. indulge in fantasies"
religion,"n. a strong belief in a supernatural power or powers that control human destiny
n. an institution to express belief in a divine power"
