enable,v. render capable or able for some task
brochure,n a small book usually having a paper cover
famous brands,none
discount,"n. the act of reducing the selling price of merchandise
v. give a reduction in price on"
bargain,"n. an agreement between parties (usually arrived at after discussion) fixing obligations of each
n. an advantageous purchase
v. come to terms; arrive at an agreement"
out of style,none
in season,none
on sale,none
in stock,none
out of stock,none
purchase,"n. the acquisition of something for payment
n. something acquired by purchase
n. a means of exerting influence or gaining advantage"
handicraft,"n. a work produced by hand labor
n. a craft that requires skillful hands"
leather,"n. an animal skin made smooth and flexible by removing the hair and then tanning
v. whip with a leather strap"
handbag,n a container used for carrying money and small personal items or accessories (especially by women)
overprice,v. price excessively high
receipt,"n. an acknowledgment (usually tangible) that payment has been made
v. mark or stamp as paid"
complaint,"n. (formerly) a loud cry (or repeated cries) of pain or rage or sorrow
n. an expression of grievance or resentment
n. (civil law) the first pleading of the plaintiff setting out the facts on which the claim for relief is based"
cafeteria,n. a restaurant where you serve yourself and pay a cashier
snack bar,none
takeaway,"n. a concession made by a labor union to a company that is trying to lower its expenditures
n. the act of taking the ball or puck away from the team on the offense (as by the interception of a pass)"
menu,"n. a list of dishes available at a restaurant
n. the dishes making up a meal
n. (computer science) a list of options available to a computer user
n. an agenda of things to do"
order,"n. (often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed
n. a degree in a continuum of size or quantity
n. established customary state (especially of society)
n. a commercial document used to request someone to supply something in return for payment and providing specifications and quantities"
appetizer,n. food or drink to stimulate the appetite (usually served before a meal or as the first course)
main course,none
meat,n. the flesh of animals (including fishes and birds and snails) used as food
bacon,"n. back and sides of a hog salted and dried or smoked; usually sliced thin and fried
n. English scientist and Franciscan monk who stressed the importance of experimentation; first showed that air is required for combustion and first used lenses to correct vision (1220-1292)
n. English statesman and philosopher; precursor of British empiricism; advocated inductive reasoning (1561-1626)"
steak,n. a slice of meat cut from the fleshy part of an animal or large fish
seafood,n. edible fish (broadly including freshwater fish) or shellfish or roe etc
soup,"n. liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
n. any composition having a consistency suggestive of soup
n. an unfortunate situation
v. dope (a racehorse)"
