abridge,"v. reduce in scope while retaining essential elements
v. lessen, diminish, or curtail"
diction,"n the articulation of speech regarded from the point of view of its intelligibility to the audience
n the manner in which something is expressed in words"
indicate,"v. indicate a place, direction, person, or thing; either spatially or figuratively
v. to state or express briefly
v. suggest the necessity of an intervention; in medicine"
indict,v. accuse formally of a crime
verdict,n. (law) the findings of a jury on issues of fact submitted to it for decision; can be used in formulating a judgment
doctrine,n. a belief (or system of beliefs) accepted as authoritative by some group or school
documentary,"n. a film or TV program presenting the facts about a person or event
a. relating to or consisting of or derived from documents"
orthodox,"a. of or pertaining to or characteristic of Judaism
a. adhering to what is commonly accepted
a. of or relating to or characteristic of the Eastern Orthodox Church"
paradox,n. (logic) a statement that contradicts itself
conducive,s. tending to bring about; being partly responsible for
conductor,"n. the person who leads a musical group
n. a substance that readily conducts e.g. electricity and heat
n. the person who collects fares on a public conveyance
n. a device designed to transmit electricity, heat, etc."
deduct,"v make a subtraction
v retain and refrain from disbursing; of payments
v reason by deduction; establish by deduction"
deductive,"a. relating to logical deduction
a. involving inferences from general principles"
ductile,"s. easily influenced
s. capable of being shaped or bent or drawn out"
induct,"v. place ceremoniously or formally in an office or position
v. admit as a member
v. introduce or initiate"
introduction,"n. the act of beginning something new
n. the first section of a communication
n. a basic or elementary instructional text
n. a new proposal"
productive,"a. producing or capable of producing (especially abundantly)
s. yielding positive results"
reproduce,"v. make a copy or equivalent of
v. have offspring or produce more individuals of a given animal or plant
v. recreate a sound, image, idea, mood, atmosphere, etc."
equal,"v. be identical or equivalent to
v. be equal to in quality or ability
v. make equal, uniform, corresponding, or matching
a. having the same quantity, value, or measure as another"
equality,"n. the quality of being the same in quantity or measure or value or status
n. a state of being essentially equal or equivalent; equally balanced"
equation,"n. a mathematical statement that two expressions are equal
n. the act of regarding as equal"
equator,"n. an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles
n. a circle dividing a sphere or other surface into two usually equal and symmetrical parts"
equitable,a. fair to all parties as dictated by reason and conscience
equivalent,"n. a person or thing equal to another in value or measure or force or effect or significance etc
n. the atomic weight of an element that has the same combining capacity as a given weight of another element; the standard is 8 for oxygen
s. being essentially equal to something"
