species,"n. (biology) taxonomic group whose members can interbreed
n. a specific kind of something"
porosity,n. the property of being porous; being able to absorb fluids
preservation,"n. the activity of protecting something from loss or danger
n. the condition of being (well or ill) preserved
n. a process that saves organic substances from decay"
principal,"n. the original amount of a debt on which interest is calculated
n. the educator who has executive authority for a school
n. capital as contrasted with the income derived from it
n. (criminal law) any person involved in a criminal offense, regardless of whether the person profits from such involvement"
reclamation,"n. the conversion of wasteland into land suitable for use of habitation or cultivation
n. rescuing from error and returning to a rightful course
n. the recovery of useful substances from waste products"
reproduction,"n. the process of generating offspring
n. recall that is hypothesized to work by storing the original stimulus input and reproducing it during recall
n. the act of making copies
n. the sexual activity of conceiving and bearing offspring"
reproductive,s producing new life or offspring
resist,"v. stand up or offer resistance to somebody or something
v. withstand the force of something
v. resist immunologically the introduction of some foreign tissue or organ
v. refuse to comply"
reverberation,"n the repetition of a sound resulting from reflection of the sound waves
n a remote or indirect consequence of some action"
rite,n. an established ceremony prescribed by a religion
roughly,"r. with roughness or violence (`rough' is an informal variant for `roughly')
r. with rough motion as over a rough surface"
snail,"n. freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell
v. gather snails"
sociology,n. the study and classification of human societies
staff,"n. personnel who assist their superior in carrying out an assigned task
n. a strong rod or stick with a specialized utilitarian purpose
n. the body of teachers and administrators at a school
n. building material consisting of plaster and hair; used to cover external surfaces of temporary structure (as at an exposition) or for decoration"
substantial,"s. having a firm basis in reality and being therefore important, meaningful, or considerable
a. having substance or capable of being treated as fact; not imaginary"
telescope,"n. a magnifier of images of distant objects
v. crush together or collapse
v. make smaller or shorter"
thrive,v. make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
vital,"s. performing an essential function in the living body
s. manifesting or characteristic of life"
award,"n. a grant made by a law court
n. a tangible symbol signifying approval or distinction
v. give, especially as an honor or reward
v. give as judged due or on the basis of merit"
boom,"n. a deep prolonged loud noise
n. a state of economic prosperity
n. a sudden happening that brings good fortune (as a sudden opportunity to make money)
n. a pole carrying an overhead microphone projected over a film or tv set"
campaign,"n. a series of actions advancing a principle or tending toward a particular end
n. several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints)
n. an overland journey by hunters (especially in Africa)
v. run, stand, or compete for an office or a position"
