similar,"a. marked by correspondence or resemblance
s. (of words) expressing closely related meanings"
be to blame for,none
be harmful to sb.,none
do harm to sb.,none
harm sb.,v. cause or do harm to
be lost in,none
be involved in,none
be ashamed of,none
be aware of,none
become aware of,none
be fond of,none
be full of,none
be jealous of,none
be made up of,none
be proud of,none
be short of,none
be sure of,none
be sure about,none
be tired of,none
get tired of,none
be uncertain of,none
be uncertain about,none
be accustomed to sth.,none
be accustomed to doing sth.,none
be used to sth.,none
be used to doing sth.,none
be addicted to,none
be equal to,none
be grateful to,none
be loyal to,none
be faithful to,none
be devoted to,none
be opened to,none
be related to,none
be similar to,none
be up to sb.,none
be angry with sb.,none
be angry with sb. for sth.,none
be armed with,none
be bored with,none
be busy with sth.,none
be busy doing sth.,none
be occupied with sth.,none
be occupied in doing sth.,none
be blessed with,none
be equipped with,none
be faced with,none
be fed up with,none
be linked with,none
be pleased with,none
be satisfied with,none
be content with,none
feel content with,none
be content to do sth.,none
be popular with,none
be strict with sb.,none
be surrounded with,none
be surrounded by,none
be eager for,none
long for,none
be dying for,none
be absent from,none
be different from,none
be free from,none
be badly off,none
be well off,none
be eager to do sth.,none
be familiar with,none
get familiar with,none
be familiar to sb.,none
be famous for,none
be famous as,none
be afraid of,none
be afraid to do,none
be reduced to ...,none
be reduced by ...,none
be worth doing sth.,none
be worthy of sth.,none
be worthy of being done,none
be worthy to be done,none
be about to do sth.,none
be bound to do sth.,none
be delighted to do sth.,none
be desperate to do sth.,none
be determined to do sth.,none
determine to do sth.,none
be forced to do sth.,none
be likely to do sth.,none
be supposed to do sth.,none
be used to do sth.,none
be willing to do sth.,none
be able to do sth.,none
be of benefit,none
be of great importance,none
be of great value,none
be of use,none
be of no use,none
be on good terms,none
be on good terms with sb.,none
be stressed out,none
all in all,none
hand in hand,none
back to back,s. one after the other
face to face,"s. in each other's presence
r. within each other's presence
r. directly facing each other"
one by one,none
side by side,none
again and again,none
over and over again,none
time and time again,none
all one's life,none
all over,s covering the entire surface
all over the world,none
all throughout the world,none
all over the country,none
all throughout the country,none
all the same,none
all the time,none
all the way,none
all together,none
all year round,none
throughout the year,none
above all,none
ahead of,none
far away,"s. very far away in space or time
s. far removed mentally"
far from,none
one after another,none
pretty well,none
well off,s. fortunately situated
badly off,none
before long,none
day after day,s of or belonging to or occurring every day
day by day,none
day and night,none
just now,none
just then,none
later on,none
now and then,none
once in a while,none
once more,none
once again,none
once upon a time,none
one day,none
some day,r. some unspecified time in the future
sooner or later,none
so far,none
the day after tomorrow,none
the day before yesterday,none
the other day,none
private school,none
public school,none
primary education,none
primary school,none
elementary education,none
elementary school,none
secondary education,none
secondary school,none
junior high school,none
senior high school,none
further education,none
physical education,none
track and field,none
school year,none
academic year,none
student union,none
beginning courses,none
basic courses,none
advanced courses,none
required courses,none
compulsory courses,none
optional courses,none
online courses,none
academic performance,none
record card,none
all-round ability,none
open-book exams,none
close-book exams,none
make-up exams,none
an academic essay,none
a research project,none
data analysis,none
a technical term,none
graduation ceremony,none
a high school diploma,none
a high college diploma,none
Bachelor of Arts,none
BA,"n a soft silvery metallic element of the alkali earth group; found in barite
n a bachelor's degree in arts and sciences"
Bachelor of Science,none
BSc,none
BS,"n a bachelor's degree in science
n aerobic rod-shaped spore-producing bacterium; often occurring in chainlike formations; found primarily in soil
n originally thought to be a single vitamin but now separated into several B vitamins
n a trivalent metalloid element; occurs both in a hard black crystal and in the form of a yellow or brown powder
n a logarithmic unit of sound intensity equal to 10 decibels
n (physics) a unit of nuclear cross section; the effective circular area that one particle presents to another as a target for an encounter
n the 2nd letter of the Roman alphabet
n the blood group whose red cells carry the B antigen"
