criticize,v. act as a critic
anniversary,n. the date on which an event occurred in some previous year (or the celebration of it)
prime,"n. a number that has no factor but itself and 1
n. the second canonical hour; about 6 a.m.
n. the time of maturity when power and vigor are greatest
v. insert a primer into (a gun, mine, or charge) preparatory to detonation or firing"
thought-provoking,s stimulating interest or thought
profound,"a. showing intellectual penetration or emotional depth
s. of the greatest intensity; complete
s. coming from deep within one
s. situated at or extending to great depth; too deep to have been sounded or plumbed"
straight,"n. a poker hand with 5 consecutive cards (regardless of suit)
s. successive (without a break)
a. having no deviations
a. (of hair) having no waves or curls"
innovation,"n a creation (a new device or process) resulting from study and experimentation
n the creation of something in the mind
n the act of starting something for the first time; introducing something new"
efficient,a. being effective without wasting time or effort or expense
customer,n. someone who pays for goods or services
friendly,"n. troops belonging to or allied with your own military forces
a. characteristic of or befitting a friend
s. inclined to help or support; not antagonistic or hostile
a. easy to understand or use"
language,"n. a systematic means of communicating by the use of sounds or conventional symbols
n. the mental faculty or power of vocal communication"
revise,v. make revisions in
lay,"v. put in a horizontal position
v. prepare or position for action or operation
v. lay eggs
v. impose as a duty, burden, or punishment"
mentor,"n. a wise and trusted guide and advisor
v. serve as a teacher or trusted counselor"
asset,n. a useful or valuable quality
donate,v. give to a charity or good cause
certain,"s. definite but not specified or identified
a. having or feeling no doubt or uncertainty; confident and assured
a. established beyond doubt or question; definitely known
a. certain to occur; destined or inevitable"
excel,v. distinguish oneself
devote,v. set aside or apart for a specific purpose or use
territory,"n. an area of knowledge or interest
n. the geographical area under the jurisdiction of a sovereign state"
possess,"v. have as an attribute, knowledge, or skill
v. enter into and control, as of emotions or ideas"
thriving,"v grow vigorously
v make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
s very lively and profitable"
schooling,"n. the act of teaching at school
n. the training of an animal (especially the training of a horse for dressage)"
continuous,"a. continuing in time or space without interruption
a. of a function or curve; extending without break or irregularity"
based,"s. having a base
s. having a base of operations (often used as a combining form)"
temper,"n. a characteristic (habitual or relatively temporary) state of feeling
n. a disposition to exhibit uncontrolled anger
n. the elasticity and hardness of a metal object; its ability to absorb considerable energy before cracking
v. harden by reheating and cooling in oil"
poise,"n. a cgs unit of dynamic viscosity equal to one dyne-second per square centimeter; the viscosity of a fluid in which a force of one dyne per square centimeter maintains a velocity of 1 centimeter per second
n. a state of being balanced in a stable equilibrium
v. be motionless, in suspension"
sweat,"n. condensation of moisture on a cold surface
v. excrete perspiration through the pores in the skin"
earnest,"n. something of value given by one person to another to bind a contract
s. characterized by a firm and humorless belief in the validity of your opinions"
inhabit,v. be present in
gain,"n. the amount by which the revenue of a business exceeds its cost of operating
v. obtain advantages, such as points, etc.
v. increase or develop
v. earn on some commercial or business transaction; earn as salary or wages"
