enable,v. render capable or able for some task
gamble,"n. money that is risked for possible monetary gain
n. a risky act or venture
v. take a risk in the hope of a favorable outcome
v. play games for money"
gambling,n. the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
gambler,"n. a person who wagers money on the outcome of games or sporting events
n. someone who risks loss or injury in the hope of gain or excitement"
grammar,n. the branch of linguistics that deals with syntax and morphology (and sometimes also deals with semantics)
grant,"n. any monetary aid
n. the act of providing a subsidy
n. (law) a transfer of property by deed of conveyance
n. Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978)"
guarantee,"n. a written assurance that some product or service will be provided or will meet certain specifications
n. an unconditional commitment that something will happen or that something is true
n. a collateral agreement to answer for the debt of another in case that person defaults
v. give surety or assume responsibility"
guaranteed,"v give surety or assume responsibility
v make certain of
v promise to do or accomplish
v stand behind and guarantee the quality, accuracy, or condition of"
guilty,"a. responsible for or chargeable with a reprehensible act
s. showing a sense of guilt"
guilt,"n. the state of having committed an offense
n. remorse caused by feeling responsible for some offense"
habitat,n. the type of environment in which an organism or group normally lives or occurs
habitation,n. the native habitat or home of an animal or plant
inhabitant,n. a person who inhabits a particular place
hesitate,"v. pause or hold back in uncertainty or unwillingness
v. interrupt temporarily an activity before continuing"
hesitancy,"n a feeling of diffidence and indecision about doing something
n a certain degree of unwillingness"
hesitant,s. lacking decisiveness of character; unable to act or decide quickly or firmly
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
adherence,"n faithful support for a cause or political party or religion
n the property of sticking together (as of glue and wood) or the joining of surfaces of different composition"
cohere,"v. cause to form a united, orderly, and aesthetically consistent whole
v. have internal elements or parts logically connected so that aesthetic consistency results"
coherent,"a. marked by an orderly, logical, and aesthetically consistent relation of parts
s. capable of thinking and expressing yourself in a clear and consistent manner
a. (physics) of waves having a constant phase relation
s. sticking together"
coherence,"n. the state of cohering or sticking together
n. logical and orderly and consistent relation of parts"
atmosphere,"n. a particular environment or surrounding influence
n. the mass of air surrounding the Earth
n. the weather or climate at some place
n. the envelope of gases surrounding any celestial body"
atmospheric,a. relating to or located in the atmosphere
heir,n. a person who is entitled by law or by the terms of a will to inherit the estate of another
heritage,n. practices that are handed down from the past by tradition
inherit,"v. obtain from someone after their death
v. receive from a predecessor
v. receive by genetic transmission"
