Abacavir,"n. 【药】阿巴卡韦
[网络] 阿巴卡伟；阿巴卡韦及片；阿卡维尔"
cast,"vt. 投，抛；计算；浇铸；投射（光、影、视线等）
n. 投掷，抛；铸件，[古生] 铸型；演员阵容；脱落物
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来
n. (Cast)人名；(法)卡斯特"
castorbean,[医] 蓖麻子
castration,"n. 去雄蕊, 修正, 阉割
[医] 阉, 阉割(睾丸或卵巢切除术)"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
catabolism,"n. 异化作用, 分解代谢
[化] 分解代谢; 降解代谢"
catabolize,"v. (使)异化, (使)发生分解代谢"
catalase,"n. 过氧化氢酶
[化] 过氧化氢酶; 催化酶; 触酶"
catalyse,"v. 催化, 促成"
catalysis,"n. 刺激(或促进)作用, 催化作用
[化] 催化; 催化作用; 接触作用"
catalyst,"n. 触媒, 接触剂, 催化剂, 刺激因素, 促进因素
[计] 催化剂"
catalytic,"a. 催化的
[医] 催化的"
cataplexy,"n. 猝倒
[医] 猝倒"
cataract,"n. 大瀑布, 奔流, 暴雨, 白内障
[医] 内障, 白内障"
catarrh,"n. 黏膜炎, 卡他
[医] 卡他, 粘膜炎"
catarrhal,"a. 卡他, 粘膜炎
[医] 卡他性的"
catecholamine,儿茶酚胺
catechu,"n. 儿茶
[医] 儿茶"
categorically,"adv. 无条件, 绝对, 明白, 断言, 明显, 明确, 范畴"
categorize,"vt. 分类, 归类"
category,"n. 种类, 类项
[计] 分类"
catenin,[网络] 连环蛋白；连环素；连环蛋白等
cathartic,"n. 泻药, 通便药
a. 通便的, 导泻的"
cathepsin,"n. 组织蛋白酶
[化] 组织蛋白酶"
catheter,"n. 导管
[医] 导管"
catheterization,"n. 导管插入(术)
[医] 导管插入[术]"
catheterize,"vt. 将导管插入
[医] 插入导管"
caudal,"a. 尾部的, 近尾部的
[医] 尾的, 尾侧的"
causal,"a. 原因的, 因果关系的, 表示原因或理由的
n. 表示原因的连词"
causalgia,"n. 灼痛
[医] 灼痛"
causally,adv. 有原因地
causation,"n. 因果关系, 原因
[法] 因果律, 原因作用, 因果关系"
causative,"a. 成为原因的
n. 使役动词"
cause,"n. 原因；事业；病因；理由
v. 导致；使；引起；产生"
cauterization,"n. 烧灼, 腐蚀
[医] 烙术, 烧烙术"
caution,"n. 小心, 慎重, 警示
vt. 警告
[计] 警告"
cautious,"a. 谨慎的, 小心的"
cautiously,adv. 慎重地
caveolin,"窖蛋白, 小窝蛋白"
cavernitis,(阴茎)海绵体炎
cavernosogram,"尿道海绵体造影片,阴茎海绵体造影片"
cavernous,"a. 似巨穴的
[医] 空洞的"
cavitate,"v. 成穴,空化"
cavitation,"n. 成穴, 空化(作用)
[化] 空化; 空蚀; 气蚀; 汽蚀; 汽穴"
cavity,"n. 洞, 空穴, 腔
[化] 空穴"
cavus,"弓形足, 爪形足"
cease,"n. 停止
v. 停止, 终了"
cecum,"n. 盲肠, 盲端
[医] 盲肠, 盲端"
cefazolin,[化] 头孢唑啉
cefotaxime,[化] 头孢噻肟
ceftazidime,[化] 头孢他啶; 头孢噻甲羧肟
cefuroxime,[化] 头孢呋辛
Celastrol,[建] 南蛇藤醇
cell,"n. 细胞；电池；牢房；基层组织
[网络] 单元；单元格；信元"
cellular,"a. 细胞的
[医] 细胞的"
cellularity,"n. 细胞性, 细胞结构
[医] 细胞构成"
cellulitis,"n. 蜂窝织炎
[医] 蜂窝织炎"
cellulose,"n. 纤维素
[化] 纤维素"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
census,"n. 户口普查
vt. 实施统计调查"
Centella,积雪草
centenarian,"n. 百岁老人
a. 百岁老人的"
centenary,"n. 一百年
a. 一百年的"
centigrade,"a. 百分度的, 摄氏的
[医] 百分度"
centimeter,[网络] 公分；厘米
centimorgan,[遗]厘摩(基因交换单位)
centrally,"adv. 在中心, 在中央"
centrifuge,"n. 离心机
vt. 使受离心作用, 用离心机分离"
centrilobular,a. [解]小叶中心的
centroblast,[网络] 中心母细胞；生发中心母细胞
centrocyte,"[医] 中心细胞, 利普许茨氏细胞(见于红色苔癣)"
centromere,"n. 着丝点, 着丝粒
[医] 着丝点"
centrosome,"n. 中心体
[医] 中心体, 中心球"
cephalad,adv. 向头部地
cephalic,"comb.form 表示“头”,“头盖”,“颅骨”：dolichocephalic[-cephalous 的异体]"
cephalohematoma,头血肿; 胎头血肿
cephalosporin,"n. 头孢菌素
[医] 头孢子菌素"
ceramide,n. [生化]神经酰胺
cercaria,"n. 摇尾幼虫, 尾蚴
[医] 尾蚴"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
cerebellum,"n. 小脑
[医] 小脑"
cerebral,"a. 脑的, 大脑的
[医] 小脑的"
cerebritis,"n. 大脑炎
[医] 大脑炎, 脑炎"
cerebroside,n. [生化]脑苷脂
cerebrospinal,adj. 脑脊髓的
cerebrovascular,adj. 脑血管的
cerebrum,"n. 大脑
[医] 大脑"
ceresin,n. (纯)地蜡
certainty,"n. 确定, 确实的事情
[法] 确定, 肯定, 必然的事"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
certification,"n. 证明
[经] 证明"
certify,"v. 证明, 保证"
ceruloplasmin,n. [生化]血浆铜蓝蛋白
cervical,"a. 颈的, 子宫颈的
[医] 颈的"
cervicitis,n. 子宫颈炎
cervix,"n. 器官的颈部, 颈
[医] 颈, 子宫颈"
cesarean,"a. 凯撒的, 皇帝的"
cessation,"n. 停止
[法] 中止, 中断, 停止"
cetirizine,[网络] 西替利嗪；西替立嗪；盐酸西替利嗪
chain,"n. 链条；链子；锁链；一系列
v. 用锁链拴住（或束缚、固定）
[网络] 连锁；一连串；项圈"
chalazion,[医]睑板腺囊肿
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
chamoishorn,无
chancre,"n. 下疳, 初疮
[医] 下疳"
chancroid,"n. 软下疳
[医] 软下疳"
changeability,n. 可变性；易变性
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
[计] 信道, 通道"
chapter,"n. 章, 篇, 重要章节
[计] 章; 段"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
[计] 阶; 指数"
characteristically,adv. 表示特性地
characterize,"vt. 描绘...的特性, 刻划...的性格"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
[计] 复选"
checklist,"[计] 校验表, 检验表, 对照表
[化] 检验单; 检查表"
checkpoint,[电] 核对点
chelation,[化] 螯合作用; 螯环化
chemerin,[网络] 趋化素；分泌异常水平的趋化素
chemobiodynamics,化学生物动力学
chemokine, 趋化因子
chemokinesis,(生物的)化学运动性
chemolysis,"n. 化学分解, 化学分析"
chemonucleolysis,[网络] 髓核化学溶解术；化学溶核术；化学核溶解术
chemoprophylaxis,"n. 传染病的化学预防法
[医] 化学预防"
chemosis,球结膜水肿
chemotactic,"a. 趋化性的, 趋药性的
[医] 趋化性的"
chemotaxis,"n. 趋化性, 趋药性
[化] 趋药性"
chemotherapeutic,"a. 化学疗法, 化学治疗"
chemotherapy,[网络] 化学治；化疗；化学治疗
Chernobyl,[经] 车诺比
chest,"n. 胸, 胸部, 衣柜, 箱子
[医] 胸, 胸廓"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
chiasma,交叉
chicken-pox,水痘
childbearing,"生孩子,分娩"
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
chimera,"n. 客迈拉(狮头、羊身、蛇尾的吐火女怪), 假想的妖怪, 妄想
[医] 嵌合体"
chimeric,"a. 妄想的, 荒诞不经的"
chimerism,"n. [生]嵌合现象,嵌合性"
Chinonin,"杧果素,芒果甙,知母宁"
chipping,"n. 碎屑, 破片
[机] 凿平"
chitin,"n. 几丁质, 壳多糖
[化] 壳多糖; 几丁质; 甲壳质"
chitosan,"[药]壳聚糖, 脱乙酰壳多糖, 脱乙酰几丁质, 聚氨基葡萄糖"
chlamydia,n. [微]衣原体
chlamydial, [医]衣原体的
chlamydiosis,衣原体病
chloralose,"n. [化]氯醛糖, 氯醛缩葡萄糖( 用作安眠剂)"
chloramphenicol,"n. 氯霉素
[化] 氯霉素"
chlordiazepoxide,"n. 甲氨二氮草, 利眠宁
[化] 氯氮┳; 利眠宁"
chloride,"n. 氯化物
[化] 氯化物; 盐酸盐"
chlorinate,"vt. 使氯化, 用氯消毒"
chlorination,"n. 氯化, 用氯处理
[化] 氯化; 氯化作用"
chlorine,"n. 氯
[化] 氯Cl"
chlorobutanol,"[化] 三氯叔丁醇; 氯丁醇
[医] 三氯叔丁醇, 氯丁醇"
chlorocresol,氯化甲酚
chloroethylnitrosourea,无
chlorofluorocarbon,n. 含氯氟烃(CFC)
chloroform,"n. 氯仿
vt. 用氯仿麻醉"
chloroma,"绿色白血病, 绿色瘤"
chloromycetin,"n. 绿霉素
[化] 氯霉素"
chlorophyll,"n. 叶绿素, 含有叶绿素的绿色蜡状物质
[化] 叶绿素"
chloroplast,"n. 叶绿体
[医] 叶绿粒"
chloroquine,"n. 氯奎, 氯喹
[化] 氯喹"
chlorpromazine,"n. 氯丙嗪
[化] 氯丙嗪"
chlortetracycline,"n. 氯四环素, 金霉素
[化] 金霉素"
chocolate,"n. 巧克力
a. 巧克力制的"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
cholangiocarcinoma," 肝胆管型肝癌, 肝外胆管癌, 肝小胆管癌"
cholangiography,"n. 胆管造影术
[医] 胆管造影术"
cholangiopancreatography, 胆管胰造影术
cholangitis,"n. 胆管炎
[医] 胆管炎"
cholecalciferol,"胆钙化醇,维生素D3"
cholecystectomy,"n. 胆囊切除术
[医] 胆囊切除术"
cholecystis, [医]胆囊
cholecystitis,"n. 胆囊炎
[医] 胆囊炎"
cholecystography,n. [医]胆囊照相术
cholecystokinin,"n. [生化]缩胆囊素,缩胆囊肽, 肠促胰酶肽"
cholecystostomy,n. [医]胆囊造口术
cholecystotomy,[医] 胆囊切开术
choledocholithiasis,[医] 胆总管石病
cholelithiasis,胆石
cholera,"n. 霍乱
[医] 霍乱"
choleretic,利胆剂
cholestasis,"n. 胆汁郁积, 胆汁阻塞
[医] 胆汁郁积, 胆汁阻塞"
cholesterol,"n. 胆固醇
[化] 胆固醇; 胆固醇"
cholesteryl,[医] 胆甾醇基
cholinergic,"a. 胆碱能的, 类似乙酰胆碱的, 被乙酰胆碱活化的, 释放出乙酰胆碱的
n. 胆碱能药, 拟副交感神经药"
cholinesterase,"n. 胆碱酯酶
[医] 胆硷酯酶"
chondral,a. 软骨的
chondroblastoma,软骨母细胞瘤
chondrocyte,[医] 软骨细胞
chondrodysplasia,"[医]软骨发育异常, 软骨发育不良"
chondrolysis,[医] 软骨溶解
chondroma,n. [医]软骨瘤
chondrosarcoma,[医] 软骨肉瘤
chordoma,"n. [医]脊索癌,脊索瘤"
chorea,"n. 舞蹈病
[医] 舞蹈病"
choreiform,a. [医]舞蹈病样的
choreoathetoid,[医] 舞蹈病手足徐动症样的
chorioamnionitis,绒毛膜羊膜炎
choriocarcinoma,绒毛膜瘤
chorio-epithelioma,"[医] 绒[毛]膜上皮癌, 绒[毛]膜瘤"
chorion,"n. 绒毛膜, 浆膜, 卵壳
[医] 绒[毛]膜"
chorionic,[医] 绒[毛]膜的
chorioretinitis,[医]脉络视网膜炎
choroid,"a. 脉络膜的
n. 脉络膜"
chromatic,"a. 彩色的, 色品的, 易染色的
[医] 色的, 易染的, 核染质的"
chromatid,"n. 染色单体
[医] 染色半体, 染色单体"
chromatin,"n. 核染质, 染色质
[化] 染色质"
chromatogram,"n. 色层分离谱
[化] 色谱; 层析谱"
chromatography,"n. 色谱法
[化] 色谱法; 层析法"
chromatolysis,"n. 染色质溶解
[化] 铬盐分解"
chromium,"n. 铬
[化] 铬Cr"
chromoblastomycosis,"[医] 着色真菌病, 黄色酿母菌病"
chromogenic,"a. 发色的, 发色体的"
chromomycin,色霉素
chromophore,"n. 发色团, 色基
[化] 发色团; 生色团"
chromophoric,"a. [生]发色团的, 载色体的"
chromoprotein,"n. [生化]色素蛋白, 色蛋白"
chromosomal,"a. 染色体
[医] 染色体的"
chromosome,"n. 染色体
[化] 染色体"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
chronically,"adv. 慢性地, 长期地, 习惯性地"
chronobiology,"n. [生]时间生物学, 生物钟学"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
chronopharmacokinetics,[网络] 时辰动力学；时辰药物动力学；药动学
chrysomonad, [医]金滴虫
chyle,"n. 乳糜
[医] 乳糜"
chylomicron,n. [生化]乳糜微滴
chylothorax,"n. [医]乳糜性水胸,乳糜胸"
chylous,[医] 乳糜的
chyluria,[医] 乳糜尿
chymotrypsin,"n. 胰凝乳蛋白酶, 糜蛋白酶
[化] 胰凝乳蛋白酶; 糜蛋白酶"
cicatricial,a. [医][植]瘢痕的
cigarette,n. 香烟；纸烟
ciliary,"a. 眼睫毛的, 纤毛的, 纤毛状的
[医] 睫状的, 睫的"
ciliate,"a. 有睫的, 有纤毛的
n. 纤毛纲的动物, 纤毛虫"
ciliated,"a. 有睫的, 有纤毛的
[医] 具纤毛的"
cilium,"n. cilia的单数
[医] 睫, 纤毛"
cimetidine,"n. 西米地丁
[化] 西咪替丁; 甲氰咪呱"
cinnamaldehyde,"[化] 肉桂醛
[医] 桂皮醛, 肉桂醛, 3-苯丙烯醛"
cinnamicalcohol,[化] 肉桂醇
cinnamon,"n. 肉桂, 肉桂树皮, 肉桂色
a. 肉桂色的, 浅黄褐色的"
ciprofloxacin," [医]环丙沙星：合成抗菌药, 对革兰氏阳性和阴性包括一些对青霉素类、头孢菌素灰和氨基糖苷类抗药的菌株, 亦可收效"
circadian,a. 24小时生理节奏的
circulate,"v. (使)流通, (使)循环, (使)传播"
circulation,"n. 流通, 循环, 发行量
[化] 环流"
circulatory,"a. 循环的
[医] 循环的"
circumcise,"vt. 割除...的包皮, 对...进行环切术, 割除...的阴蒂, 净(心)"
circumcision,"n. 包皮环割术, 环切术, 犹太教的割礼, 净心, 犹太人
[医] 包皮环切术"
circumduction,环行(运动)
circumference,"n. 圆周, 周缘, 胸围
[医] 周缘, 环状面"
circumscribe,"vt. 在...周围画线, 限制"
circumstance,"n. 环境, 状况, 事件"
cirrhosis,"n. 肝硬化
[医] 硬变; 肝硬变"
cisplatin,"顺二氯二氨铂,顺铂"
cis-platinum," [医][=cis-diamminedichloroplatinum]Ⅱ顺氯氨铂, 顺氯氨铂, 顺铂"
cisterna,池；槽；腔
cistron,"n. 顺反子, 作用子
[化] 顺反子"
cite,"vt. 引用, 引证, 表彰
[建] 引证, 指引"
citrate,"n. 柠檬酸盐
[化] 柠檬酸(或枸橼酸)盐(酯或根)"
citrobacter, [医]柠檬酸细菌属
citrullinemia,瓜氨酸血
civilization,"n. 文明, 教化
[法] 文明, 文化, 文明国家的总称"
cladothrix,[医] 分支丝菌属
claim,叫喊
clamp,"n. 夹钳
vt. 夹紧, 强加"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
clarithromycin, [医]克拉霉素：大环，内酯抗生素，对革兰氏阳性和阴性细菌的抗菌谱甚广，口服用于呼吸道以及皮肤和软组织感染的治疗
clarity,"n. 清楚, 明晰
[化] 透明度; 透明性; 清晰性"
classical,"古典的,标准的,典型的"
classification,"n. 分类, 分级
[化] 分级; 分粒; 分类"
classify,"vt. 分类, 归类, 分等
[建] 分类, 分级, 分粒"
clastogen,断裂剂
clastogenesis,[网络] 诱裂发生；染色体异常诱发；断裂作用
claudication,"n. 跛行
[医] 跛行"
claustrophobia,"n. 幽闭恐怖症
[医] 幽闭恐怖"
clavicle,"n. 锁骨
[医] 锁骨"
cleanse,"vt. 使清洁, 净化, 使纯净
[建] 纯化, 净化, 精炼"
cleanser,"n. 使清洁的东西, 清洁剂, 清洁工
[建] 泸清器, 清洁器, 刮净器"
clearance,"n. 清除, 间隙
[化] 间隙; 空隙"
cleavage,"n. 劈开, 裂片, 分裂
[化] 解理"
cleft,"n. 裂缝, 裂口
a. 劈开的
cleave的过去式和过去分词"
client,"n. 客户, 顾客, 委托人
[计] 客户, 客户机, 客户机程序"
climacteric,"n. 更年期, 绝经, 断经, 断经期, 危机, 转折点, 危机期
a. 更年期的, 危机的, 关键的"
climate,"n. 气候, 社会趋势, 气候区
[医] 气候"
clindamycin,[化] 克林霉素; 氯洁霉素; 氯林肯霉素
clinodactyly,"n. 手指弯曲变形, 手指弯斜"
clinical,"a. 临床的, 门诊部的
[医] 临床的, 临证的"
clinically,"adv. 临床, 临诊, 冷静, 不偏不倚, 分析"
clinician,"[医] 临床医师, 临证医师"
clinicopathologic,a. [医]临床病理(学)的
clitoris,"n. 阴核, 阴蒂
[医] 阴蒂"
cloaca,"n. 泄殖腔, 阴沟
[医] 泄殖腔, 一穴肛; 骨瘘"
clofibrate,"n. [医]降固醇酸,安妥明"
clog,"n. 障碍, 脚坠
v. 障碍, 阻塞"
clomiphene,"n. 克罗米酚,舒经酚(一种合成的助生育药)"
clonal,"a. 无性系的, 克隆的
[医] 无性系的, 纯系的"
clone,"n. 无性系
[计] 代用件"
clonidine,[化] 可乐定
cloning,"[计] 研制兼容产品
[化] 克隆"
clonorchiasis,支睾吸虫病
clonotypic,adj. 克隆型的
clonus,"n. 阵挛
[医] 阵挛"
closed-circuit,"[计] 闭合线路
[化] 闭路"
clostridial,"a. [生]梭菌的, 梭菌属的"
clostridium,[医] 梭状芽胞杆菌
clot,"n. 凝块, 一团
v. (使)凝结, (使)聚集"
clotrimazole,[化] 克霉唑
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
[建] (混)浊的"
clubbing,"[医] 杵状变(指,趾)"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
clump,"n. 丛, 块, 笨重的脚步声
[计] 丛"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
[计] 簇"
coadministration,[法] 共同管理
coaggregation,[网络] 细菌共凝集；共聚；共凝集作用
coagulability,"n. 凝结力, 凝固性
[化] 凝结力; 凝结性"
coagulase,n. [生化]凝固酵素
coagulate,"v. (使)凝结
a. 凝结的"
coagulation,"n. 凝结, 凝结物
[化] 聚沉; 凝结作用; 凝聚法"
coagulative,"a. 凝结物的, 凝固物的
[医] 可凝固的, 促凝固的"
coagulin,"[医] 凝血致活酶, 凝血活素; 凝固素"
coagulopathy, 凝血病
coagulum,"n. 凝结物, 凝固物
[医] 凝块, 血块"
coal,[网络] 钴蓝
coalesce,"vi. 合并, 联合, 合生
[计] 结合"
coarctation,"密集, 收缩"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
coating,"n. 涂层, 上衣衣料
[计] 涂复, 涂层, 镀层, 敷层"
cobalamin,"n. 钴胺素, 维生素B12
[医] 钴胺"
cobalt,"n. 钴, 钴类颜料
[化] 钴Co"
cocaine,?-古柯硷
co-carcinogen,[医] 辅致癌物质
co-carcinogenesis,"协癌过程,合致癌作用"
coccobacillus,[生]球杆菌
coccus, 表示球菌[用于各种细菌名称]
coccyx,"n. 尾骨
[医] 尾骨"
cochlea,"n. 蜗
[医] (耳)蜗"
cocktail,"n. 鸡尾酒, 开味品
a. 鸡尾酒会的"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
[计] 代码"
codeine,"n. 可卡因, 可待因
[化] 可待因"
codominant, 次优势的，次优势木，共优势的
codon,"n. 密码子（遗传密码的单位）
n. (Codon)人名；(西)科东"
coefficient,"n. [数] 系数；率；协同因素
a. 合作的；共同作用的"
coenzyme,[网络] 辅酶；辅酵素；辅脢
coexist,vi. 共存
cofactor, 辅助因子
coferment,[建] 辅酵素
coffee,"n. 咖啡, 咖啡色
[医] 咖啡, 咖啡豆"
cognitive,"a. 认知的, 认识的"
cognizant,"a. 察知的, 认识到的, 有认识能力的
[法] 审理的, 审理权的, 有权审理的"
cohesion,"n. 结合, 黏聚, 内聚
[计] 内聚性"
cohesive,"a. 黏合在一起的
[医] 内聚的"
cohesiveness,[建] 粘结性
cohort,n. 一群；步兵大队；支持者；共同特点的一群人
coil,"n. 线圈, 盘绕, 骚动, 卷
vt. 盘绕, 卷"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
coincide,"vi. 一致, 符合；同时发生"
coincidence,[网络] 巧合；生命中的每一刻都是巧合；发生之状况
coincident,adj. 一致的；符合的；同时发生的
coincidental,adj. 巧合的；符合的；暗合的；一致的
coitus,"n. 性交, 交媾
[医] 性交, 交媾"
coke,"n. 可口可乐, 焦炭
v. (使)成焦炭"
cokeromyces,无
colchicine,"n. 秋水仙碱
[化] 秋水仙碱; 秋水仙素"
colectomy,[医] 结肠切除术
colibacillosis,大肠杆菌病
colic,"n. 绞痛, 急腹痛
[医] 结肠的; 绞痛, 急腹痛"
colicky,"a. 绞痛的, 急腹痛的"
coliform,"n. 大肠菌
a. 大肠菌状的"
