relationship,n. 关系；关联
composer,"n. 作曲家, 作家, 调停者"
sophisticated,"a. 复杂的, 久经世故的
[法] 尖端的, 高级的, 非常有经验的"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
[医] 焦虑"
measurement,[计量] 量度
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
[法] 丑事, 丑闻, 干丑事的人"
wicked,"a. 坏的, 邪恶的, 缺德的, 刻毒的, 恶劣的, 淘气的"
harden,"vt. 使变硬, 使坚强, 使冷酷
vi. 变硬, 变冷酷"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
reluctance,"n. 不情愿, 勉强
[电] 磁阻"
tide,[网络] -浪潮
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
[计] 对象"
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
treaty,"n. 条约, 谈判
[经] 协议, 协定, 协商"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
persuasion,"n. 说服, 信念, 派别, 说服力"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
ashamed,"a. 惭愧的, 羞耻的"
summarize,"v. 概述, 总结"
scold,"n. 好骂街的人, 责骂
v. 责骂"
industrialize,"vt. 使工业化
vi. 实现工业化"
badge,"n. 徽章, 标记
[计] 标记"
mold,"n. 模子, 模型, 霉
v. 形成, 塑造, 发霉"
mould,"霉菌，模具, 霉菌；模型"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
[计] Scheme 程序设计语言"
modernize,"vi. 现代化
vt. 使现代化"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
[医] 消灭"
solitary,"adj. 独自的；单独的；喜欢（或惯于）独处的；单个的
n. 独居者
[网络] 孤独的；唯一的；独居的"
scope,"comb.form 表示“观测仪”,“观察镜”;“(观测)显示器”;“被观测物”：telescope, kaleidoscope [参较-scopy]"
booklet,n. 小册子
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
[化] 磁体"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
residence,"n. 住宅, 居留, 驻扎, 居住期间
[医] 住房"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
noticeable,"a. 显而易见的, 显著的, 值得注意的"
sip,[网络] 肯定命题；矽智财
morality,"n. 道德, 教训, 品行
[法] 道德, 道义"
spy,"n. 间谍, 侦探, 侦察
vt. 侦察, 找出, 发现
vi. 做密探, 侦查"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
orderly,"a. 有秩序的, 整齐的, 值班的
n. 护理员, 清道夫, 传令兵, 勤务兵
adv. 依次地, 顺序地"
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
loyalty,"n. 忠贞, 忠诚, 忠实
[法] 忠诚, 忠心"
verify,"vt. 证明, 查证, 证实, 检验, 校验
[计] 校验, 检验; DOS内部命令:设定写入磁盘时是否验证写入的正确性"
folklore,民间文学
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
[计] 脉冲"
textile,"n. 纺织品, 纺织业
a. 织的, 纺织的"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
naval,"a. 海军的, 军舰的, 有舰队的
[法] 海军的, 军舰的, 船的"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
tick,"n. 滴答声, 一瞬间, 壁虱, 褥套, 信用, 赊欠
vi. 滴答响, 活动
vt. 滴答地记录, 标记号于"
colony,"n. 殖民地, 移民队
[医] 菌(集)落, 菌丛; 移民区"
oval,"n. 椭圆形
a. 卵形的, 椭圆形的"
overhead,[网络] 制造费用；顶置空间；过顶球
specimen,"n. 样品, 标本, 试料
[化] 试样"
aboard,"un. A台
[网络] 木板；钻木板；上有一块板"
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
manoeuvre,"n. 调遣, 演习, 策略
vi. 调动, 演习, 用策略
vt. 调动, 操纵"
satisfactory,"a. 满意的, 赎罪的
[法] 令人满意的, 令当事人满意的, 充分的"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accountable,"a. 负有责任的, 可说明的, 可解释的
[经] 负有责任的"
ace,[计] Ace压缩文件格式
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
aftermath,"n. 结果, 后果
[法] 后果, 结果"
aide,"n. 助手, 副官
[计] 数据输入的可说明性"
aircraft,"n. 航空器,飞机"
aisle,"n. 走廊, 侧廊, 过道
[机] 走道"
allege,"vt. 宣称, 主张, 提出, 断言
[法] 断言, 指称, 指证"
ambassador,"n. 大使
[法] 大使, 使节, 代理"
anew,"adv. 重新, 再"
angel,"n. 天使, 守护神, 善人"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
apparatus,"n. 装置, 器具, 器官
[化] 仪器; 器械"
aptitude,"n. 资质, 才能, 自然倾向
[医] 资质, 才能"
aristocrat,n. 贵族
arithmetic,"n. 算术, 算术知识
[机] 算术; 算术的"
arrow,"n. 箭, 箭状物, 箭头记号"
ashore,[网络] 到岸
ass,"n. 屁股；驴子；蠢人
n. (Ass)人名；(俄)阿斯"
astronomer,n. 天文学家
atomic,"a. 原子的, 原子能的
[医] 原子的"
atop,[网络] 陀螺；一顶部
attic,"n. 阁楼, 顶楼
[医] 鼓室上隐窝"
audio,"a. 音频的, 声音的
[电] 声频"
auditorium,"n. 听众席, 礼堂
[医] 大讲堂, 大会堂"
authorize,"vt. 授权, 批准, 委托
[经] 授权, 委任, 认可"
authorise,vt. 授权；批准；允许；委任（等于authorize）
aviation,"n. 航空, 航空学, 飞行术
[法] 航空, 飞行, 飞行术"
awe,"n. ☉(对神等的)敬畏；(对权势等的)畏怯
vt. 使敬畏，令人敬畏，对…充满敬畏之情；使充满畏惧，使畏怯：；使惊叹，使惊奇："
awesome,"a. 引起敬畏的, 可怕的"
axis,n. 轴；轴线；轴心国
bail,"n. 保释, 拎环, 杓, 栅栏
vt. 保释, 舀水"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
ballot,"n. 投票, 投票用纸, 抽签
vi. 投票, 抽签
vt. 投票选出, 拉选票"
banknote,"钞票
[法] 纸币, 银行券"
basically,"adv. 基本上, 主要地"
batch,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批
v. 成批, 分批处理
[计] 一批"
battalion,"n. 营, 军队, 集团"
beforehand,[网络] 预先；事先；提前
berry,"n. 浆果
vi. 采集浆果"
beverage,"n. 饮料
[化] 饮料(如牛奶、茶、咖啡、啤酒等)"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
[计] 偏流; 偏压; 偏磁; 偏离"
biotechnology,[网络] 生物科技；生物技术；生物技术简介
blond,"a. 金发的
n. 白肤碧眼金发的人"
bloody,"adj. 血腥的；非常的；嗜杀的，残忍的；血色的
vt. 使流血
adv. 很"
blueprint,"蓝图
[法] 蓝图"
boiler,"n. 煮器, 汽锅, 锅炉
[化] 锅炉"
bracket,"n. 支架, 括弧, 托架
vt. 装托架, 括入括弧
[计] 方括号; 括号"
brag,"n. 吹牛
v. 吹牛"
brass,"n. 黄铜, 黄铜制品
a. 黄铜的, 铜管乐器的
v. 镀以黄铜, 支付"
breadth,"n. 宽度
[法] 违背, 违犯, 未遵守"
breakdown,"v. 分解；抛锚；分析；划分
[网络] 损坏；出故障；瓦解"
broke,"a. 一文不名的
break的过去式"
broker,"n. 掮客, 经纪人
[经] 经纪人, 掮客"
broom,"n. 扫帚, 金雀花
vt. 扫除"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
buck,"n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话
vi. 马背突然拱起, 反对, 吹牛, 闲聊
vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗
a. 雄的"
buckle,"n. 皮带扣, 扣子
vt. 扣住, 使弯曲
vi. 扣住, 变弯曲, 屈服"
buddy,"n. 好朋友, 伙伴"
bullet,"n. 子弹
[医] 弹, 子弹, 距节(马)"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
bumper,"n. 缓冲器, 满杯
a. 大胜利的"
burial,"n. 埋葬, 葬礼
[法] 埋葬, 葬礼"
bypass, 旁路，绕道
calf,"n. 小牛, 小牛皮, 腓肠
[医] 腓肠"
calf,"n. 小牛, 小牛皮, 腓肠
[医] 腓肠"
calling,"n. 职业, 行业, 呼唤, 召集
[计] 呼叫"
calorie,"comb. 表示""卡路里的""；adj"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
carbon,"n. 碳, 副本, 复写纸
[化] 碳"
cardboard,特等纸板;卡(片)纸板
carpenter,n. 木匠
carrier,"n. 运送者, 邮递员, 带菌者
[计] 载波"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
certainty,"n. 确定, 确实的事情
[法] 确定, 肯定, 必然的事"
champagne,[网络] 香槟省
cherish,"vt. 珍爱, 怀有, 爱护"
cholesterol,"n. 胆固醇
[化] 胆固醇; 胆固醇"
chore,[网络] 岸边
citizenship,公民资格
clarity,"n. 清楚, 明晰
[化] 透明度; 透明性; 清晰性"
clear-cut,"adj. 清晰的
[网络] 皆伐；清楚的；明确"
climax,"n. 高潮, 极点, 层进法
v. (使)达到顶点, (使)达到高潮"
clockwise,"顺时针向；顺时钟[方]向, 顺时针方向"
clothe,"vt. 给...穿衣, 盖上, 赋予"
clown,"n. 小丑, 乡下人"
cohesion,"n. 结合, 黏聚, 内聚
[计] 内聚性"
collaborate,"vi. 合作, 勾结
[法] 合作, 合著, 通敌"
colon,"n. 冒号, 结肠
[医] 结肠"
colonial,"a. 殖民的, 殖民地的
[法] 殖民地居民"
comma,"n. 逗点, 逗号"
commodity,"n. 农产品, 商品, 有用的物品
[经] 商品, 货物, 日用品"
commonplace,[网络] 公共位置；迷你涮涮锅；共同空间
commune,"n. 恳谈, 社区, 公社
vi. 亲密交谈, (感情上)融为一体"
comply,"vi. 顺从, 依从
[法] 遵守, 承诺, 照做"
comprehend,"vt. 理解, 包括"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
conscientious,"a. 有责任心的, 负责的, 本着良心的
[法] 凭良心做的, 有道德感的"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
[计] 合并计算"
contempt,n. 轻视，蔑视；耻辱
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
cornerstone,"[法] 基础, 基石, 要件"
cosmos,"n. 宇宙, 秩序, 和谐, 大波斯菊
[医] 大波斯菊"
countdown,"倒读数, 用倒数方式计算
[经] 倒数, 递减计算"
counterpart,"[计] 副本, 配对物, 对应物"
coupon,"n. 息票, 赠券
[经] 息票, 利息单, 联票"
crab,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果
vi. 捕蟹, 偏航, 发牢骚
vt. 使偏航, 抱怨, 破坏"
cracker,"n. 饼干, 爆竹
[计] 破袭者"
crocodile,n. 鳄鱼
crossroads,"n. 十字街头
[网络] 十字路口；交叉路口；十字形交叉"
damp,"氨苄西林,氨苄青霉素"
database,"[计] 数据库
[化] 数据库"
dean,"n. 院长, 主持牧师
[法] 外交团长, 学院院长, 教务长"
deem,"v. 认为, 相信"
deficient,"a. 不足的, 不充分的, 有缺陷的"
delegation,"n. 代表团, 派遣代表团, 代表的地位(或权力)
[经] 派遣, 委任, 委托"
dent,"n. 凹痕
vt. 使凹下, 削弱
vi. 塌陷"
deprive,"vt. 剥夺, 使丧失
[法] 剥夺, 剥夺, 夺去"
despatch,"v. 派遣
n. 派遣"
deteriorate,v. (使)恶化
dew,"n. 露珠, 露水
vt. (用露水)沾湿
vi. 结露水"
diabetes,"n. 糖尿病, 多尿症
[医] 糖尿病; 多尿症"
digit,[网络] 挖掘；挖它；挖掘它
diligent,"a. 勤勉的, 用功的"
dime,n. 10分硬币(美、加)
disable,"vt. 使失去能力, 使残废, (律)使无资格
[计] 使无效, 禁止, 关闭"
discriminate,"v. 区别, 差别待遇"
disgusting,a. 令人厌恶的
disintegrate,"vt. (使)分解, (使)碎裂
[医] 分解, 分裂, 蜕变"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
ditch,"n. 沟渠
vt. 在...开沟
vi. 开沟"
dock,"n. 码头, 船坞, 被告席, 尾巴的骨肉部分
vt. 使靠码头, 使(船)进港, 剪短
vi. 进港"
donor,"n. 捐赠人
[化] 给体; 供体"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
drastic,"a. 激烈的
[医] 峻泻药, 剧烈的"
drought,"n. 干旱, 缺乏"
dual,"a. 双重的, 双的
n. 双数"
dye,[网络] 染料
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
elevate,"vt. 举起, 提拔, 鼓舞"
elite,"n. 精华, 精锐, 中坚分子"
endanger,"vt. 危及
[法] 使危险, 危及"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
entrepreneur,"n. 企业家, 主办人
[经] 承包商, 企业家"
equate,"vt. 使相等, 视为平等
vi. 等同"
erase,"vt. 抹去, 擦掉
[计] 清洗; 擦除; 抹除; DOS内部命令:从磁盘上删除一个或多个文件"
err,"vi. 犯错, 做错, 犯罪
[法] 弄错, 犯错误, 陈述"
essence,"n. 实质, 本质, 香精
[化] 香精"
ethic,"n. 道德规范, 伦理"
exceedingly,"adv. 极端地, 极度地, 非常"
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
expend,"vt. 花费, 消耗, 用光"
expertise,专家
eyebrow,眉毛板
fairy,"n. 仙女, 精灵
a. 仙女的"
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
federation,"n. 联邦, 联合, 联盟
[法] 联邦, 联盟, 联邦政府"
fingerprint,指纹；指印
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
[化] 划痕; 裂缝; 裂纹"
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
foggy,"a. 雾深的, 模糊的"
footprint, 脚印
foremost,"a. 最初的, 最重要的
adv. 在最前"
foresight,前瞄准器
forestry,"n. 林学, 森林地
[法] 林地, 林学, 林业"
formulate,"vt. 用公式表示, 明确叙述, 制订
[机] 公式化, 公式表示"
forthcoming,[网络] 北京大学出版社；社会科学类
freeway,快速道
freshman,"n. 新手, 生手, 大学一年级学生, (美)中学一年级学生"
fright,"n. 惊骇, 吃惊
[医] 惊吓"
fruitful,"a. 结果实的, 多实的, 产量多的"
furnace,"n. 火炉, 熔炉, 考验
vt. 在炉中烧"
gadget,"n. 小配件, 小玩意, 诡计"
germ,"n. 细菌, 种子, 生殖细胞, 根源
[医] 芽胞, 胚, 胚芽, 病菌"
gorgeous,"a. 华丽的, 灿烂的"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
gown,"n. 睡衣, 法衣, 大学全体师生
vt. 使穿睡衣"
gravitation,"n. 引力, 重力, 沉下
[化] 引力"
grin,"n. 露齿笑
v. 露齿而笑"
guilt,"n. 罪行, 内疚
[法] 罪, 犯罪, 罪行"
gulf,"n. 海湾, 深渊, 漩涡, 隔阂
vt. 吞没"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
[医] 习生地, 产地, 生境, 栖所"
hack,"n. 劈, 砍, 砍痕, 出租车, 干咳, 晒架, 鹤嘴锄
vt. 劈, 砍, 出租, 用旧
vi. 劈, 砍, 干咳, 驾驶出租车
a. 出租的"
hack,"n. 劈, 砍, 砍痕, 出租车, 干咳, 晒架, 鹤嘴锄
vt. 劈, 砍, 出租, 用旧
vi. 劈, 砍, 干咳, 驾驶出租车
a. 出租的"
halfway,"中途,半路上"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
hardware, [医]硬件，硬设备
haunt,"n. 常到的地方, 生息地
vt. 常到, 出没于, 萦绕于
vi. 出没, 作祟"
haze,"n. 薄雾, 阴霾, 疑惑
vt. 使变朦胧, 使变糊涂
vi. 变朦胧, 变糊涂"
heartfelt,[网络] 衷心的；感人肺腑的
hectare,"n. 公顷
[经] 公顷"
helpless,"a. 无助的, 无能为力的, 无依无靠的"
hereby,"以此, 特此
[法] 以此, 特此, 专此"
heritage,"n. 遗产, 祖先遗留物, 继承物
[医] 遗传性"
hijack, 劫道
highjack,"vt. 抢劫, 强逼, 劫持, 拦路抢劫"
hip,"n. 臀部, 蔷薇果, 忧郁
a. 熟悉内情的
vt. 使忧郁, 给(屋顶)造屋脊
interj. 喝彩声"
homosexual,[网络] 不得不提及同性恋；性别；同性恋的
horsepower,"[计] 马力
[经] 马力"
hospitable,"a. 好客的, 招待周到的"
hut,"n. 小屋, 茅舍, 临时军营
v. (使)住在茅舍"
hyphen,"n. 连字符
vt. 用连字符连接"
idiom,"n. 习语, 成语, 惯用语法, 方言"
immigrate,"vt. 使移居入境
vi. 移入"
incentive,"n. 动机
a. 激励的"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
influenza,"n. 流行性感冒
[医] 流行性感冒, 流感"
infrastructure,[网络] 基础结构；基础建设；水电路等基础设施
inhabit,"vt. 居住于, 占据, 栖息"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
inland,"a. 内陆的, 国内的
n. 内地"
innovate,"vi. 改革, 创新"
instalment,"n. 就职, 装设, 分期付款"
installment,"n. 分期付款；分期交付；债款的分期应付款；(分期连载的)部分；(丛书分期出版的)分册；(戏剧的)分本演出
adj. 分期付款的；分期清偿的"
intake,[网络] 吸收；语言获得
intangible,"a. 难以明了的, 无形的
[经] 无形的"
intrude,"vi. 闯入, 侵入
vt. 强加于"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
invaluable,"a. 无价的, 价值无法衡量的"
invariably,"adv. 不变化地, 恒定地, 始终如一地"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
irrational,"n. 无理数
a. 无理性的, 不合理的"
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
jet lag,"n. 飞行时差反应, 时差感"
jewel,"n. 珠宝, 贵重物, 镶珠宝的饰物
vt. 饰以珠宝, 镶以宝石"
judgement,判决，判断，评审
kettle,"n. 茶壶, 罐
[化] 釜体釜; 锅"
kin,"suf. 表示小：lambkin, princekin; [构成姓氏]：Peterkin"
know-how,[化] 专门技术; 窍门
lace,"n. 饰带, 花边, 缎带, 鞋带
vt. 结带子, 饰以花边
vi. 系带子
[计] 全穿孔"
laptop,n. 笔记本电脑
lass,"n. 少女, 爱人, 情妇"
lawn,"n. 草地, 草坪, 上等细麻布
[机] 细筛"
layoff,"na. 辞退；停止；暂停
[网络] 解雇；下岗；裁员"
legend,"n. 传说, 传奇文学, 图例
[计] 图例"
legislate,"vi. 制定法律
vt. 用立法规定"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
[计] 文字; 直接量; 字面量; 句节"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
livelihood,"n. 生计, 营生, 生活"
loophole,漏洞
lunar,[地名] 卢纳河 ( 巴西 )
maiden,"n. 年轻未婚女子, 少女, 处女
a. 未婚的, 处女的, 初次的, 无经验的"
mainstream, 干流; 主流
make-up,"na. 弥补；起草；定；签订
[网络] 组成；化妆；编造"
mammal,"n. 哺乳动物
[化] 哺乳动物"
mankind,"n. 人类, 男性"
manly,"a. 象男人的, 强壮的, 适于男人的"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
massage,"n. 按摩, 揉
vt. 按摩, 揉"
masterpiece,杰作
mayor,[地名] 马约河 ( 阿根、秘 )
mechanize,"vt. 使机械化, 用机械装置, 机动化
[机] 机械化之, 令其机械化"
mechanise,"vt. 使机械化, 用机器"
memorandum,"n. 备忘录, 外交备忘录, 交易备忘录
[经] 备忘录, 便笺, 便函"
metric,"a. 公制的；米制的；公尺的
n. 度量标准"
metro,n. 地铁
microphone,"n. 扩音器, 麦克风
[医] 扩音器, 传声器"
microscope,[网络] 显微镜
misfortune,"n. 不幸, 灾祸, 坏运气
[法] 不幸事故, 不幸, 灾祸"
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
motorway,汽车专用路，高速道路
mule,[网络] 殖民计划
municipal,"a. 市政的, 自治区的, 内政的
[经] 市政的, 市的"
napkin,"n. 餐巾, 餐巾纸, 尿布"
narrate,"v. 说故事, 说明, 叙述"
nationality,"n. 国籍, 国家, 民族性
[法] 国家, 民族, 国民"
naughty,"a. 顽皮的, 没规矩的, 不适当的, 下流的"
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
negate,"vt. 否定, 否认, 取消
[计] 非"
nickel,"n. 镍, 镍币, 五分镍币
vt. 镀镍于"
nightclub,n. 夜总会
nucleus,环
nude,"a. 裸的, 肉色的, 无装饰的
n. 裸体画, 裸体"
obese,"a. 肥胖的
[医] 肥胖的"
odor,[网络] 气味
odour,"气味, 气味；嗅气"
old-fashioned, 古典鸡尾酒
opener,"n. 开...的人, 开局人, 开创人, 开具, 开启工具, 首项
[经] 申请开证人"
opt,[网络] 田式净化疗法
optimism,"n. 乐观主义, 乐观, 乐天
[医] 乐观主义, 乐观"
ore,[网络] 那不勒斯之王
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
outbreak, 超欠挖
outdated,(out-date 的过去分词) 过期；出单日期
outdoors,"adv. 在户外
n. 户外
adj. 户外的（等于outdoor）"
outsider,"n. 外人, 局外人, 非会员, 外行, 门外汉, 比赛中获胜可能性不大的选手
[经] 外船公司"
outskirts,[网络] 外裙
oven,"n. 烤箱, 灶, 子宫
[化] 烘箱"
overdue,过期
overhear,"vt. 无意中听到, 偷听"
oversee,"vt. 监督；审查；俯瞰；偷看到, 无意中看到"
oversight,看漏
overthrow,后撑后翻
ozone,[网络] 欧龙；欧志姆；涑爽
packet,"n. 小包, 一批信件, 大量, 信息包
vt. 打包, 装进小包
[计] 分组, 分组报文, 数据分组"
paddy,"n. 稻, 谷, 爱尔兰人, 警察
[法] 警察"
paperback,"[经] 纸面本, 平装本"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
[化] 佯谬"
parking,"n. 停车
a. 停车的"
password,"na. 【军】口令
[网络] 密码；重复密码；密码了"
pastime,"n. 消遣, 娱乐, 游戏"
payroll,"工资清单,薪工清单;工资薪金总额"
peanut,(落)花生
pearl,"n. 珍珠, 珠灰色, 杰出者, 珍贵之物
vt. 用珍珠镶, 使成珠状
vi. 成珠子状, 采珍珠, 用珍珠做"
peril,"n. 危险, 冒...之险, 险境, 险因
vt. 置...于险境, 冒险, 危及"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
pessimism,"n. 悲观, 悲观情绪, 悲观主义
[医] 悲观主义"
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
[经] 小额的, 微小的, 小规模的"
pigeon,"n. 【鸟】鸽子；〈非正式〉易受骗的人；〈非正式〉责任
[网络] 贝亲；野鸽；白鸽"
pint,"n. 品脱(干量或液量的单位)
[医] 量磅, 品脱"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
plentiful,"a. 许多的, 丰富的, 丰饶的"
plumbing,"n. 测深, 管子工行业, 管道设备"
plural,"n. 复数
a. 复数的, 两个以上的"
poster,"n. 海报, 招贴, 驿马"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
preposition,n. 介词；前置词
priest,"n. 祭司, 牧师, 神父, 神质人员, 僧侣, 泰斗"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
prose, [法]代表自己
proverb," 代动词（意义依另一动词而定, 如She likes chocolate and so do I中的do）"
quantify,"vt. 定量, 用数量表示, 测量"
quiz,"n. 考查, 课堂测验, 恶作剧, 智力测验
vt. 戏弄, 考查, 恶作剧"
quota,"n. 配额, 限额
[化] 定额"
recreation,"n. 再创造；重新创造；再创造的事物
[网络] 二度创造"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
refreshment,"n. 点心, 起提神作用的事物, 精神爽快"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
repay,"v. 偿还, 报答, 报复"
reside,"vt. 住，居住；属于
n. (Reside)人名；(英)雷赛德"
reviewer,"n. 评论者, 书评作者, 评论家, 剧评家, 报刊评论家"
ridicule,"n. 嘲笑, 愚弄, 笑柄
vt. 嘲笑, 嘲弄, 愚弄"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
rumor,"n. 谣言, 传闻
vt. 谣传"
rumour,"n. 谣言, 传闻
vt. 谣传"
runway,"n. 跑道, 河床, 过道
[化] 单轨架空道; 吊车道"
scent,爬
schooling,"n. 学校教育, 学费"
selfish,"a. 自私的, 利己主义的, 自我中心的"
setback,"na. 阻碍；延迟；〈非正式〉花费
[网络] 推迟；推迟，延缓；使退步"
sexual,[网络]  - 性别
shell,"abbr. (=she will [shall])
[网络] 她将"
shit,[网络] 屎
shrimp,"n. 虾, 小虾, 矮子
vi. 捕小虾"
situate,"vt. 使位于, 使处于"
skyline,天边
smelly,"a. 发臭的, 有臭味的"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
snack bar,"快餐柜, 小吃店"
socialism,[网络] 社会主义；关于社会的主义
socialist,"n. 社会主义者, 社会党党员
[法] 社会主义的"
sociology,"n. 社会学
[医] 社会学"
soft drink,n. 不含酒精的饮料
spade,"n. 铲子, 锄, 铲刀, 黑桃
vt. 以锄掘, 把...弄实抹平
vi. 铲"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
staircase,n. 楼梯
