defensive,"adj.防御用的,自卫的n.防御"
fledgling,"n.羽毛初长的雏鸟,刚会飞的幼鸟,无经验的人,初出茅庐的人"
adult,"n.成人,成年人adj.成人的,成熟的"
naive,adj.天真的
ill,"adj.有病的,坏的,恶意的,生病"
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
seem,"vi.象是,似乎"
aimlessly,"adv.漫无目的地,没目标地"
athlete,"n.运动员,运动选手"
authentic,adj.可信的
beat,"n.敲打,拍子,巡逻区域v.打,打败"
brainstorm,n.灵机一动v.集体讨论
canned,"adj.罐装的,录音的,一稿数用的,喝醉了的"
careful,"adj.小心的,仔细的"
clique,"n.私党,小圈子,派系,阀vi.结党"
collaborate,"vi.合作,通敌"
concentration,"n.集中,集合,专心,浓缩,浓度"
critically,"adv.批评地,用钻研眼光地,精密地,危急地"
deadline,n.最终期限
delay,"v.耽搁,延迟,延期,迟滞n.耽搁,延迟,迟滞"
deploy,"v.展开,配置"
disappointed,adj.失望的
discourage,"vt.使气馁,阻碍"
earphone,"n.头戴受话器,耳机"
feeling,"n.触觉,知觉,感觉,情绪,同情adj.富于感情的,富于同情心的,衷心的,有同情心的,有感觉的,仁慈的"
foggy,"adj.雾深的,模糊的,朦胧的,(玻璃窗等)不明净的"
inadequacy,n.不充分
landing,"n.登陆,着陆,码头,楼梯平台,降落"
laughter,"n.笑,笑声"
monotonous,"adj.单调的,无变化的"
organizational,adj.组织的
part-time,
periodically,"adv.周期性地,定时性地"
prevent,"v.防止,预防"
resolve,"n.决心v.决心,决定,决心要,(使)分解,溶解,解决vt.解决"
satisfy,"vt.满足,使满意,说服,使相信v.满意,确保"
shortcoming,"n.缺点,短处"
starting salary,
start-up,
stretch,"v.伸展,伸长n.一段时间,一段路程,伸展"
sustained,"adj.持续不变的,相同的"
teenager,n.十几岁的青少年
unreadiness,
vaunted,
wander,"vi.漫步,徘徊,迷路,迷失方向,离题"
weakness,"n.虚弱,软弱,弱点,缺点"
accompany,"vt.陪伴,伴奏"
acquaint,"vt.使熟知,通知"
alienate,v.疏远
bosom,"n.胸部,胸,胸怀,内心,内部,中间,任何温暖、舒适而熟悉的地方vt.怀抱,隐匿"
chat,v.聊天n.聊天
companion,"n.同伴,共事者"
compassion,"n.同情,怜悯"
compatible,"adj.谐调的,一致的,兼容的"
console,"vt.安慰,藉慰n.[计] 控制台"
intercourse,"n.交往,交流"
intimate,"adj.亲密的,隐私的vt.宣布,明白表示n.熟友"
nickname,"n.诨号,绰号,昵称vt.给...取绰号,给...起浑名"
frustrate,"v.挫败,阻挠,使感到灰心,阻止"
opportunity,"n.机会,时机"
define,"vt.定义,详细说明"
vanish,"vi.消失,突然不见,[数]成为零n.[语]弱化音"
solution,"n.解答,解决办法,溶解,溶液 解决方案"
stare,"v.(～ at) 凝视,盯着看"
die down,
die out,
disappear,"vi.消失,不见"
fade,"vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢vt.使褪色n.淡入,淡出adj.乏味的,平淡的"
flee,"vt.逃避,逃跑,逃走vi.消散,逃,消失"
apparent,"adj.显然的,外观上的"
conspicuous,adj.显著的
distinct,"adj.清楚的,明显的,截然不同的,独特的"
evident,"adj.明显的,显然的"
intelligible,adj.可理解的
manifest,"n.载货单,旅客名单adj.显然的,明白的vi.出现vt.表明,证明"
daunt,v.沮丧
deject,"vt.使沮丧,使灰心"
depress,"vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条v.压下"
depressed,"adj.沮丧的,降低的"
gloomy,"adj.黑暗的,阴沉的,令人沮丧的,阴郁的"
contemplate,"v.凝视,沉思,预期,企图"
eye,"n.眼睛,视力,眼光,观点,见解,眼状物,风吹来的方向,[气]风眼vt.看,注视,在...上打眼"
gaze,"v.盯,凝视n.凝视"
regard,"n.关心,注意,尊敬,尊重,致意,问候,关系vt.看待,当作,重视,尊敬,关系"
manner,"n.礼貌,风格,方式,样式,习惯"
means,"n.手段,方法v.意味,想要"
method,n.方法
recipe,n.处方
resource,"n.[pl.] 资源,财力,办法,智谋"
way,"n.路,路线,路途,习惯,行业,规模,道路,情形adj.中途,途中的adv.远远地,大大地,非常"
researcher,n.研究员
discover,"vt.发现,发觉v.发现"
consciously,"adv.有意识地,自觉地"
path,"n.小路,小径,路线,轨道,通道"
entirely,"adv.完全地,全然地,一概地"
cell,"n.单元,细胞,蜂房,(尤指监狱或寺院的)单人房间,电池"
jump,"n.跳跃,上涨,惊跳vt.跳跃,跃过,突升,使跳跃vi.跳跃,暴涨"
innovative,"adj.创新的,革新(主义)的"
adolescence,n.青春期(一般指成年以前由13至15的发育期)
analytically,
autopilot,
bypass,"n.旁路vt.设旁路,迂回"
comfort,"n.安慰,舒适,安慰者vt.安慰,使(痛苦等)缓和"
decider,
dismiss,"vt.解散,下课,开除,解职,使(或让)离开vi.解散"
emphasis,"n.强调,重点"
ever-changing,
familiar,"adj.熟悉的,常见的,听惯的,亲近的,随便的n.密友,熟客,常客"
fascination,"n.魔力,入迷,魅力,迷恋,强烈爱好"
funny,"adj.有趣的,好笑的,滑稽的,奇异的,古怪的n.滑稽人物"
herd,"n.兽群,牧群v.把...赶在一起放牧,成群"
highlight,"n.加亮区,精彩场面,最显著(重要)部分vt.加亮,使显著,以强光照射,突出"
inherently,"adv.天性地,固有地"
kill off,
lie,"vi.躺,平放,展现,展开,位于v.说谎,躺n.谎话,谎言"
mindlessly,
mode,"n.方式,模式,样式,时尚"
paradoxical,adj.荒谬的
pathway,"n.路,径"
perpetuate,"vt.使永存,使不朽"
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的"
procedure,"n.程序,手续"
relationally,
relax,"vi.放松,休息,休养,变从容vt.使松驰,缓和,使松懈,使休息"
routine,"n.例行公事,常规,日常事务,程序"
rut,"n.车辙,常轨,定例,惯例v.在...形成车辙"
standardize,"vt.使符合标准,使标准化"
step,"n.脚步,步幅,步调,步伐,步骤,措施,梯级,台阶v.走,举步,移步,踏 产品数据转换规范"
thinker,"n.思想者,思想家,心智"
unaware,"adj.不知道的,没觉察到的"
unchangeable,"adj.不变的,不能改变的"
unreflecting,"adj.不反射的,不反省的,无思虑的,浅薄的"
zone,"n.地域,地带,地区,环带,圈vt.环绕,使分成地带vi.分成区"
type,"n.类型,典型,模范,[印刷]活字,铅字v.打字,测定(血等)类型"
integrity,"n.正直,诚实,完整,完全,完整性"
require,"vt.需要,要求,命令"
well-enforced,
law,
transparency,"n.透明,透明度,幻灯片,有图案的玻璃"
such as,
official,"n.官员,公务员adj.职务上的,公务的,官方的,正式的"
meeting,"n.会议,集会,会见,会战,汇合点"
rule,"n.规则,惯例,统治,章程,破折号,准则,标准,控制vt.规定,统治,支配,裁决vi.统治,管辖,裁定n.规则,水线"
lobby,"n.大厅,休息室,<美>游说议员者vi.游说议员,经常出入休息室vt.对(议员)进行疏通"
information,"n.通知,报告,消息,情报,知识,见闻,资料,起诉 信息"
elected,
leader,"n.领导者,社论n.[计]前导字符n.[机]导杆"
source,"n.来源,水源,消息来源,原始资料,发起者 源,源极"
act,"n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作"
adopt,"vt.采用,收养"
allowable,"adj.允许的,正当的,可承认的"
amend,"v.修正,改进,改正"
bill,"n.帐单,钞票,票据,清单,议案,法案,广告vt.用海报宣传,把...列成表,给...开帐单"
breach,"n.违背,破坏,破裂,裂口vt.打破,突破"
clause,"n.子句,条款"
constitution,"n.宪法,构造,体质,体格,国体,章程,惯例"
counsel,"n.讨论,商议,辩护律师vt.劝告,忠告"
criminal,"n.罪犯,犯罪者adj.犯罪的,犯法的,罪恶的"
enforce,"vt.强迫,执行,坚持,加强"
illegal,"adj.违法的,不合规定的"
impartial,"adj.公平的,不偏不倚的"
legal,"adj.法律的,法定的,合法"
legislation,"n.立法,法律的制定(或通过)"
legislative,"adj.立法的,立法机关的n.立法机关"
legitimate,"adj.合法的,合理的,正统的v.合法"
mandatory,"adj.命令的,强制的,托管的"
obligation,"n.义务,职责,债务"
policy,"n.政策,方针"
revoke,"vt.撤回,废除,宣告无效vi.n.有牌不跟"
statute,"n.法令,条例"
vague,"adj.含糊的,不清楚的,茫然的,暧昧的"
valid,"adj.[律]有效的,有根据的,正当的,正确的"
appeal to,
bid for,
demand,"n.要求,需求(量),需要v.要求,需要,要求知道,查询"
entail,"vt.使必需,使蒙受,使承担,遗传给n.[建]限定继承权"
indispensable,"n.不可缺少之物adj.不可缺少的,绝对必要的"
insist,"v.坚持,强调"
necessitate,v.成为必要
request,"vt.请求,要求n.请求,要求,邀请"
requirement,"n.需求,要求,必要条件,需要的东西,要求必备的条件"
couple,"n.(一)对,(一)双,夫妇vt.连合,连接,结合vi.结合,结婚"
quarrel,"n.吵架,反目,怨言,争吵的原因vi.吵架,争论,挑剔"
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
value,"n.价值,估价,评价,价格,[数]值,确切涵义vt.估价,评价,重视"
advertiser,"n.登广告者,广告客户"
fine-grained,
assume,"vt.假定,设想,采取,呈现"
track,"n.轨迹,车辙,跟踪,航迹,足迹,路,磁轨,途径;vt.循路而行,追踪,通过,用纤拉;vi.追踪,留下足迹,走"
behavioral,adj.动作的
behavioural,adj.动作的
ad,"n.广告 [域] Andorra ,安道尔 [军] Air Defense,防空 (AD) 公元 (Anno Domini)"
advertise,"v.做广告,登广告"
advertisement,"n.广告,做广告"
advertising,"n.广告业,广告adj.广告的"
arresting,"adj.引人注意的,可观的"
attraction,"n.吸引,吸引力,吸引人的事物"
big news,
blog,
browser," n 浏览器,吃嫩叶的动物,浏览书本的人"
budget,"n.预算vi.做预算,编入预算"
click on,
comply,"vi.顺从,答应,遵守"
customer,n.消费者
dispute,"v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等)n.争论,辩论,争吵"
favorably,"adv.顺利地,好意地,亲切地"
favourably,"adv.顺利地,有利地"
fraction,"n.小部分,片断,分数"
Internet,
leaflet,"n.小叶,传单"
object,"n.物体,目标,宾语,对象vi.反对,拒绝,抗议vt.提出...来反对"
oblige,"vt.迫使,责成"
obviously,adv.明显地
privacy,"n.独处而不受干扰,秘密"
promotion,"n.促进,发扬,提升,提拔,晋升"
propose,"vt.计划,建议,向...提议,求(婚)vi.打算,求婚"
really,"adv.真正地,实在地,(表语气)真的吗?"
retention, 保持力
search for,
selling point,
simple,"adj.简单的,简易的,朴素的,简朴的,天真的,率直的,无经验的,易受骗的"
slogan,"n.口号,标语"
stick,"n.棍,棒,手杖v.粘住,粘贴vt.刺,戳"
unable,"adj.不能的,不会的"
unclear,adj.不清楚的
version,"n.译文,译本,翻译"
waste,"n.废物,浪费,损耗,消耗,地面风化物,垃圾,荒地adj.废弃的,荒芜的,多余的vt.浪费,消耗,使荒芜vi.被浪费,挥霍钱财,变消瘦,被损耗"
certify,"v.证明,保证"
denote,"vt.指示,表示"
exemplify,"vt.例证,例示,作为...例子"
identification, /n.身份证
indicative,"adj.(～ of) 指示的,预示的,可表示的"
token,"n.表示,向征,记号,代币adj.象征的,表意的"
anniversary,n.周年纪念
bride,n.新娘
caress,"n.爱抚,接吻vt.抚爱"
divorce,"n.离婚,脱离vt.使离婚,与...脱离"
offspring,"n.(单复数同形)儿女,子孙,后代,产物"
widow,n.寡妇v.使成寡妇(或鳏夫)
transportation," /n.运)n/n.运输,运送"
Transportation Security Administration,
TSA,
security,n.安全
administration," /[)n/n.管理,经营,衅]网络管理"
find,"vt.找到,发现,感到,查明,得到,认为,见到...的存在vi.裁决n.发现 [计] 在文件中查找指定的字符串"
secret,"n.秘密,秘诀,奥秘adj.秘密的,隐秘的,幽静的、"
undercover,"adj.秘密从事的,秘密的,被雇进行间谍活动的"
investigator,n.调查人
able,"adj.能...的,有才能的,能干的,能够的"
sneak,"vi.鬼鬼祟祟做事vt.偷偷摸摸地做,<口>偷窃n.鬼鬼祟祟的人,偷偷摸摸的行为,<美口>帆布胶底运动鞋adj.暗中进行的"
weapon,n.武器
fake,"n.假货,欺骗adj.假的vt.伪造,赝造,捏造,假造,仿造vi.伪装"
real,"adj.真的,真实的,不动产的"
airport,"n.<主美>小型民用机场,私人飞机降落场"
nearly,"adv.几乎,密切地"
try,"n.尝试v.试,试图,努力,试验,磨难,考验,审问"
alarm,"n.警报,惊慌,警告器vt.恐吓,警告"
basket,"n.篮,一篮"
carry in,
corrosive,"adj.腐蚀的,蚀坏的,腐蚀性的n.腐蚀物,腐蚀剂"
customs,"n.进口税,海关"
detector,"n.发现者,侦察器,探测器,检波器,检电器"
equipment,"n.装备,设备,器材,装置,铁道车辆,(一企业除房地产以外的)固定资产,才能"
exempt,v.免除adj.被免除的
explosive items,
explosive,"adj.爆炸(性)的,爆发(性)的,暴露n.爆炸物,炸药"
forbid,"vt.禁止,不许v.禁止"
formality,"n.拘谨,礼节,仪式,正式手续,拘泥形式"
get through,
infrared,adj.红外线的n.红外线
liquid,"n.液体,流体,流音adj.液体的,清澈的,透明的,明亮的,流动的,易变的,(财务)易变卖的"
luggage inspection,
monitor,"n.班长,监听器,监视器,监控器vt.监控v.监控"
poisonous,adj.有毒的
prohibit,"vt.禁止,阻止"
radioactive,"adj.放射性的,有辐射能的"
security check,
security counter,
smuggle,"n.走私,偷带v.走私"
strict,"adj.(～ with) 严格的,严厉的,严谨的,精确的"
X-ray,
bomb,"n.炸弹vt.投弹于,轰炸"
bullet,n.子弹
cannon,"n.大炮,加农炮v.炮轰"
chemical weapon,
guided missile,
gun,"n.炮,枪,<美>手枪,油门vi.用枪射击,用枪打猎,加大油门快速前进vt.向...开枪,开大(引擎、汽车)的油门"
missile,"n.导弹,发射物"
nuclear weapon,
pistol,n.手枪
revolver,"n.连发左轮手枪,旋转者,旋转式装置"
rifle,"n.来复枪,步枪,来复线,膛线vt.用步枪射击,抢夺vi.掠夺"
scout,"n.侦察,搜索,侦察员,侦察机vi.守候,侦察,巡视,嘲笑vt.侦察,跟踪,觅得,监视,轻蔑地拒绝(建议,意见等)"
shell,"n.贝壳,壳,外形,炮弹vt.去壳,脱落,炮轰vi.剥落,脱壳 [计] 设定命令行解释器的位置"
submarine,"n.潜水艇,潜艇adj.水下的,海底的"
tank,"n.(盛液体,气体的大容器)桶、箱、罐、槽,池塘,坦克,战车,柜,储水池vt.储于槽中,击败vi.大量喝酒"
threat,"n.恐吓,凶兆,威胁"
adventure,"n.冒险,冒险的经历v.冒险"
anchor,"n.锚v.抛锚,锚定"
cab," 一种压缩文件格式;n.出租马车,出租汽车,计程车,(机车,卡车,起重机的)司机室,驾驶室vi.乘出租马车"
canoe,"n.独木舟,轻舟"
cargo,"n.船货,(车、船、飞机等运输的)货物"
carriage,"n.马车,客车,运费,姿态,(机械)车架"
cart,"n.大车,手推车vt.用车装载"
charter,"vt.租,包(船、车等)n.宪章"
compartment,"n.间隔间,车厢"
cruise,"vi.巡游,巡航n.巡游,巡航"
departure,"n.启程,出发,离开"
destination,"n.目的地,[计] 目的文件,目的单元格"
dock,"n.<美> 码头,船坞,被告席,尾巴的骨肉部分vt.靠码头,引入坞,剪短vi.入船坞"
excursion,"n.远足,游览,短程旅行,远足队,离题,[物]偏移,漂移"
expedition,"n.远征,探险队,迅速,派遣"
ferry,"n.摆渡,渡船,渡口vt.渡运,(乘渡船)渡过,运送vi.摆渡,(船)来往行驶"
freight,"n.货物,船货,运费,货运vt.装货,使充满,运送"
intersection,"n.[数]交集,十字路口,交叉点"
lane,"n.(乡间)小路,巷,里弄,狭窄的通道,航线"
liner,"n.<美>班机,划线者,衬垫"
locomotive,"n.机车,火车头adj.运动的"
lorry,"n.<古>卡车,铁路货车"
motel,n.汽车旅馆
overpass,"n.<美>天桥,陆桥vt.胜过,通过,忽视"
pavement,"n.人行道,公路"
pedestrian,"n.步行者adj.徒步的,呆板的,通俗的"
route,"n.路线,路程,通道v.发送"
sightseeing,n.观光
tanker,n.油轮
tariff,"n.关税,关税表,税则,(旅馆,饭店等的)价目表、价格表vt.课以关税"
toll,"n.通行税(费),费,代价,钟声vt.征收,敲钟,鸣(钟)(特指宣布死亡),勾引,引诱vi.征税,鸣钟"
trail,"n.踪迹,痕迹,形迹vt.跟踪,追踪,拉,拖,拖拉,(指植物)蔓生,蔓延,(指人)没精打采地走"
tram,"n.有轨电车,电车轨道,煤车,吊车v.乘电车"
trolley,"n.电车,(电车)滚轮,手推车,手摇车,台车vt.用手推车运vi.乘电车"
van,
visa,n.签证vt.签准 维萨信用卡
wagon,"n.四轮马车,货车v.用运货马车运输货物"
wreck,"n.失事船(或飞机),残骸,(船,飞机的)失事vt.破坏,拆毁"
zigzag,"n.Z字形,锯齿形,蜿蜒曲折adj.曲折的,锯齿形的,Z字形的adv.作Z字形地,弯弯曲曲地v.成Z字形,作Z字形行进,曲折前进"
California,
justice,"n.正义,正当,公平,正确,司法,审判,欣赏"
refrain,"n.重复,叠句,[乐]副歌vi.节制,避免,制止"
sweeping,"n.扫除,垃圾adj.扫荡的,彻底的,广泛的,规模大的"
ruling,"adj.统治的,支配的,主导的,流行的,占统治地位的n.统治,支配,裁决,划线"
particularly,"adv.独特地,显著地"
upset,"vt.颠覆,推翻,扰乱,使不适,使心烦vi.翻倒,倾覆n.翻倒,混乱"
assumption,"n.假定,设想,担任,承当,假装,作态,圣母升天"
authority,"n.权威,威信,权威人士,权力,职权,典据,著作权威"
possession,"n.拥有,占有,所有,着迷,领土,领地,财产(常用复数),自制"
suspect,"n.嫌疑犯adj.令人怀疑的,不可信的,可疑的v.怀疑,猜想,对...有所觉察"
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
attorney,"n.<美>律师,(业务或法律事务上的)代理人"
award,"n.奖,奖品vt.授予,判给"
banish,"vt.流放,驱逐,消除"
bench,n.长椅子
convict,"vt.证明...有罪,宣告...有罪n.罪犯"
court order,
courtroom,"n.法庭,审判室"
death sentence,
defendant,"n.被告adj.辩护的,为自己辩护的"
defensible,adj.可防御的
denunciation,"n.谴责,告发"
detention,"n.拘留,禁闭,阻止,滞留,留堂"
execute,"vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效"
final determination,
final order,
fixed-term imprisonment,
freeze,"v.(使)结冰,(使)冷冻,冻结"
